name,description,address,email,phone,website,type
Giardino di via Caio Valerio Mariano o del Moschen,Attrezzature: giochi per bambini; campo da pallavolo (sabbia); ping pongDivieto di accesso ai cani,ingresso giardino da via caio valerio mariano; via dos trento,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino di Vaneze,"Area giochi bimbi con molle; altalena; combinato e giostrina
attrezzature per lo sport: basket/volley e campo bocce
superficie 1.800 m2
Vaneze è un agglomerato costituito da grandi alberghi sorti negli anni ’60 lungo la strada provinciale 85 e da una galassia di seconde case che già dai primi del Novecento (vd. la bella chiesetta di Ettore Sottsass del 1927) si allarga a ventaglio al margine della foresta. Villeggiatura e pratica sportiva sono l’anima di questo luogo; per il cui rilancio è stato avviato un programma di opere pubbliche col Patto territoriale del Monte Bondone. Nell’anno 2006 un’area in abbandono è stata così recuperata a giardino pubblico.
Il progetto recupera un vecchio piazzale abbandonato che ospitava una pista da pattinaggio e integra nel disegno alcuni muri in pietra; relitti di impianti di risalita mai terminati.Nell’area vi sono giochi e tavoli da pic-nic; sparsi nel piccolo prato ove sono a disposizione anche un campo per il gioco delle bocce ed un campo da pallavolo per le squadre sportive in ritiro estivo. Nel piccolo spazio sono stati messi a dimora anche nuovi larici che accompagnano al punto di partenza di una serie di sentieri che salgono verso le cime.",s.p. 85 – strada di vaneze; strada di corno,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Alexander Langer - ex Giardino del Salè,"Giochi bimbi con molle; sabbiera; altalena; castello combinato
attrezzature per lo sport: ping-pong; campo da beach volley; percorsi salute per la mente e il fisico con strutture e pannelli esplicativi; percorso salute ""AllenaLaMente""  
superficie 14.000 m2
area recintata per cani con fontana acqua potabile
Il parco segue il corso del torrente Salè dalla foce nel torrente Fersina a salire fino a viale Verona: parte di un sistema verde che racchiude ampi tratti di questo corso d’acqua in importanti parchi cittadini; il maggiore dei quali è Gocciadoro; salendo verso la collina. Il parco Langer è situato al centro di più rioni – Clarina; viale Verona; Lungofersina – ma resta abbastanza appartato e tranquillo; forse in ragione del fatto che è solo lambito da strade urbane e risulta poco visibile; tra l’alveo rialzato del torrente e; sul lato opposto; le alte arcate ferroviarie della Valsugana.
Il parco si compone sostanzialmente di due parti; una più stretta e alberata; dove nell’anno 2014 è stato inaugurato il percorso AllenaMente per esercitare fisico e memoria; ed una più ampia e assolata; con un ampio prato per il gioco libero e con attrezzature per bambini. Lungo  il viale che attraversa il parco; si succedono siepi di carpino e pruni dalle foglie rossicce; il verde del prato accanto a thuje; grandi cedri e pioppi presso l’ingresso.
Altre specie arboree presenti sono tigli; aceri campestri; ippocastani ed alcune betulle.
Nell’anno 2014 il Consiglio comunale di Trento ha voluto intitolare il giardino a Alexander Lager; tra i maggiori rappresentanti del movimento ecologista italiano ed europeo; promotore di numerose iniziative per la pace e la convivenza; con particolare attenzione al rapporto tra le diverse comunità linguistiche del vicino Alto Adige. 
Nel parco è stato piantumato; nell’anno 2017 quale simbolo di pace; un caco di Nagasaki; discendente dell’unica pianta lì sopravvissuta alla bomba atomica.Tra la frescura delle rogge e l’amatissima collina erbosa sede di mille giochi e rincorse tra bambini; le due grandi aree cani attrezzate e la vicinanza alla viabilità ciclopedonale e agli orti urbani comunali di via Gramsci fanno del giardino Langer un’apprezzata infrastruttura verde della città di Trento.",ingresso giardino da via marsala; via palermo; via gramsci; viale verona,ufficio.verde@comune.trento.it,,,parco / giardino
Giardino Ilaria Alpi e Miran Hrovatin (ex via Guardini),Il giardino comprende delle aree di sosta con panchine; una fontana ed un gruppo tavola; oltre a tutta una serie di strutture sportive di utilizzo libero come un campo da pallavolo in erba sintetica; porta da calcetto; tavolo da ping pong e struttura metallica per attività fitness.Il giardino è stato completato nella sua parte a verde con una ricca varietà di alberi come olmi resistenti alla grafiosi; querce ed aceri di diverse specie; oltre a alberi da frutto quali fichi; mandorli; albicocchi e cachi.,via trener; via guardini - trento,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Massimiliano I d'Asburgo - ex Giardino Cristo Re,"Area giochi bimbi con molle; altalene; rete arrampicata; combinato con scivoli; sabbiera; teleferica
attrezzature sportive: attrezzi ginnici del percorso fitness; ping-pong; campo pallavolo; campo pallacanestro
superficie 20.800 m2
A metà degli anni ’70 i residenti del quartiere richiesero; anche con occupazioni e manifestazioni molto partecipate; che l’area venisse trasformata in giardino pubblico. La transazione con il privato proprietario si concluse nel 1987; anno in cui vennero eseguiti i lavori di approntamento nell’attuale configurazione; che prevede sostanzialmente tre ambiti in successione lungo la ventosa riva sinistra dell’Adige. La prima zona a sud è dedicata al gioco dei bambini; è molto frequentata nella bella stagione anche per la frescura delle ampie chiome di frassini; tigli e bagolari che la sovrastano e per una piccola collinetta dove avventurarsi per le prime prove in bicicletta.
La seconda zona; dopo il filo e le torrette della teleferica; si apre in un luminosissimo e vasto prato; dove giocare in libertà e attorno al quale molti sportivi si allenano; sfruttando i campi per la pallacanestro e il volley; i tavoli da ping-pong e le attrezzature fitness del nuovo percorso dedicato. Nell’estremità a nord; sotto un’altra macchia alberata; è recintata la principale area cani del quartiere.",ingresso giardino da via lung’adige braille; via abondi; via bepi mor,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Montevaccino,"Area giochi bimbi con molle; altalena; combinato a due torri con scivolo
attrezzature per lo sport: campo da volley; campo da calcetto
superficie 4.000 m2
divieto di accesso ai cani.
L’ameno borgo di Montevaccino si contraddistingue per la sua antica origine mineraria e per la forte matrice agricola nella quale tutt’oggi si colloca. Il paese è una delle porte di accesso ai numerosi itinerari del monte Calisio; ma merita una visita anche il piccolo centro storico caratterizzato da una villa merlata ad oggi disabitata già da subito visibile.Proprio accanto al giardino pubblico del paese sorge una chiesetta di impianto seicentesco; attorno alla quale si sviluppa su due livelli il parco recentemente completato; con un’area comunitaria predisposta per essere coperta da tendoni e una moderna pergola-tettoia in corten con sedute. Tigli e ciliegi da fiore cingono il parco assieme a siepi miste e altre alberature; a corredo di un piccolo monumento ai caduti e dell’ingresso del cimitero. Il giardino è apprezzabile per la cura dei dettagli; la varietà di spazi e l’armonia con gli elementi del paesaggio circostante.",strada di montevaccino; via corta - cognola,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Oltrecastello,"Giochi bimbi con molle; altalene; casette con arrampicata ed equilibrio; combinato con scivolo e ponte oscillante
attrezzature per lo sport: ping-pong; campo basket; campo da volley; campo da calcetto
superficie 4.000 m2
divieto di accesso ai cani
L’ampio parchetto di Oltrecastello si inserisce nella splendida cornice della collina est di Trento; a poca distanza dal Passo del Cimirlo e vicino agli attacchi di diversi itinerari escursionistici; come quelli per il Rifugio Marzola. Davanti al giardino ombrato da ippocastani si può godere di una bella vista sul versante opposto della Val d’Adige; con il massiccio della Paganella a fare mostra di sé; e sul più vicino monte Calisio; vista che fa di Oltrecastello il primo sobborgo veramente collinare di Trento.
L’area; che si sviluppa in lunghezza costeggiando la strada principale; offre piccoli prati ben curati che seguono l’alternarsi di aree dedicate al gioco dei più piccoli e allo sport; con grandi campi da volley e calcetto separati da quinte vegetali e circondate da imponenti alberature di Acer saccharinum.Una siepe mista di viburni; tigli; sorbi e Cornus mas; ma anche eleagni; Pyrus e cespugli da fiore; protegge il gioco dalla strada. Le diverse aree giochi; sia per piccolissimi che per bambini; sono state di recente rinnovate.",via della resistenza - povo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Mattarello,"Area giochi bimbi con altalene; scivoli da collina; combinati con arrampicate e ponte tibetano; teleferica
attrezzature per lo sport: campi tennis; campo calcio; campo calcetto; basket; volley e calcetto singolo; campo bocce; ping-pong
bagni con custode; accesso disabili e zona fasciatoio
superficie: 35000 m2
Il principale giardino pubblico del sobborgo di Mattarello è stato realizzato sulla base di un progetto del 1985: concretizza una previsione del piano regolatore volta ad offrire un’ampia area verde baricentrica al paese; in zona “ex Cembran”; in un periodo di massiccia espansione edilizia. 
L’ampia area; servita anche da un bar interno; si sviluppa su due livelli; connessi da un viale con orientamento sud-nord coperto da una lunga pergola e affiancato da piazzole a emiciclo. Il livello più basso ospita le maggiori attrezzature sportive; il più alto; raggiungibile con un sistema di terrazzamenti; consiste in prati abbelliti da una collezione di statue e gruppi alberati; solcati da un gioco d’acqua artificiale.Un parco molto ricco di alberature e di specie vegetali; adatto allo sport per tutte le età e che ospita le maggiori manifestazioni pubbliche della comunità.A partire da giovedì 18 aprile 2024 sono disponibili i bagni all’interno del parco di Mattarello: sette giorni su sette con orario 9:00 - 19:00 (9:00 - 17:00 in inverno).L’iniziativa – identica a quella già operativa al parco di Melta – prevede la presenza di un custode che si prende cura sia del parco che dei bagni; pulendo e controllandone il corretto utilizzo.I bagni - appena ristrutturati all’interno della palazzina centrale al parco - sono utilizzabili anche dai disabili e dispongono di una zona fasciatoio.",via perini; via del castel; via della torre franca - mattarello,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Maria Teresa d'Asburgo; ex Giardino della Clarina,"Giochi bimbi con molle; altalene; bilico a 4; combinato con scivoli; arrampicate; casetta
attrezzature per lo sport: tavoli ping-pong; pista pattinaggio per bambini; porta da calcio
superficie 10.900 m2
Inaugurato nel 1987; questo parco rappresenta un’oasi verde nei quartieri della Clarina ed è frequentatissima meta di bambini e adulti.Ampio cuneo verde tra zone residenziali e le caserme militari; è costituito da ampi prati e da piante di robinia; ciliegi da fiore; abete; acero; cedro; frassino; bagolaro e carpino. Presenti anche un caco; ippocastani; noccioli di Costantinopoli e verdi siepi che ne fanno un luogo botanicamente ricco; adatto ad essere scoperto nei suoi viraggi stagionali di colori e fioriture. Larghi vialetti pavimentati intersecano aree giochi; piste da pattinaggio e zone di sosta; come isole nel percorso pedonale accompagnato dai colori dei ciliegi e dei peri da fiore. I bambini amano giocare sfruttando le piccole collinette che dinamizzano le linee del parco; divertenti da percorrere in bici o di corsa. Il giardino è inoltre ben inserito nel sistema del verde comunale; e con pochi passi in sicure strade pedonali si può accedere ai maggiori complessi scolastici di quartiere; agli orti comunali di via Gramsci e poi ancora al giardino Alexander Langer.Nell’anno 2014 il Consiglio comunale di Trento ha voluto intitolare il giardino a Maria Teresa d’Asburgo.",ingresso giardino da via anna frank; via einaudi; via antonio gramsci; via gandhi,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Area verde Piedicastello o giardino Andreas Hofer,area gioco,via dos trento,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Gardolo dell'Arcobaleno ex scuole Pigarelli,Attrezzature: area giochi bambini; campo da basket; percorso vitaDivieto di accesso ai cani,via 4 novembre gardolo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Gardolo Casa Pedrolli,Area verdeAttrezzature: ping pong,piazzale groff gardolo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Melta Itea,Area giochi bimbi - ping pong.Giardino con divieto di accesso ai cani.,via 8 marzo  gardolo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Roncafort o Giardino Ettore Sottsass,Attrezzature: area giochi bambini; campo da pallavolo; ping pong. Divieto di accesso ai cani.,loc. roncafort gardolo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Gardolo di Mezzo,"Area giochi bimbi con molle; altalene; capanne; passerelle
attrezzature per lo sport: ping-pong; campo basket/volley
superficie 2.700 m2
divieto di accesso ai cani.
La bellezza dell’ameno borgo di Gardolo di Mezzo compensa largamente la fatica della salita per raggiungerlo. Incastonato tra i vigneti e le terrazze con muretti a secco; il piccolo paese sembra sospeso e senza tempo; con i suoi pregevoli dettagli architettonici e gli archi delle case di antico impianto. Della Val d’Adige qui si può sentire solo il vago e lontano rombo delle auto che scorrono frenetiche nel fondovalle; ed è proprio cercando un affaccio sul tessuto urbano sottostante che si può trovare; seminascosto tra case e frutteti; il piccolo parco di Gardolo di Mezzo. 
Esso si sviluppa su due livelli; uno con un praticello e l’area dedicata ai giochi dei più piccini; protetto da un’alta massicciata con pietre a vista corredata da una pergola di vite; e più in basso da una stradina pavimentata che cinge il parco permettendo di ammirare la vista sui massicci del Bondone e della Paganella. Il camminamento è arricchito dalla presenza di un filare di gelsi; memoria della sericoltura praticata nelle campagne intorno a Trento. A collegare questi due livelli vi sono un piccolo campo da basket e un tavolo da ping-pong; mentre all’ingresso del parco sorge un piccolo centro comunitario. La visita del paese è facilitata da pannelli informativi storici e archeologici.",via della cavada; via castel di gardolo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino S. Lazzaro,Attrezzature: area giochi bambini; ping pong. Divieto di accesso ai cani.,sponda trentina meano,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Vigo Meano Sandrin,"Area giochi bimbi con molle; altalena; combinato
superficie 400 m2
divieto di accesso ai cani.
Nel centro di Vigo Meano; borghetto nel cuore del bacino minerario del Calisio-Argentario; trova spazio il piccolo parco pubblico del paese.
Si tratta di un’area corredata da giochi per bambini e grandicelli; ben ombreggiata e in parte pavimentata con cubetti di porfido.
È una zona a verde molto semplice ma utile soprattutto per tutelare il gioco dei bambini più piccoli; mentre quelli più grandi vanno e vengono in piena libertà come in tutti i piccoli paesi.Apprezzabile la vicinanza alla bella passeggiata verso Cortesano e alla chiesetta dei SS. Pietro e Paolo.",piazza stainer; via ss. pietro e paolo; vigo meano,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino S. Donà Itea  o Carlo Bertotti,Attrezzature: area giochi bambini; ping pong. Parco fornito di area cani con fontana acqua potabile.,case itea s. donà trento,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Rita Levi Montalcini; ex via Volta,"Giochi bimbi con molle; altalene; piramide a rete; scivolo
attrezzature per lo sport: ping-pong; campo basket
superficie 7.100 m2
Sito al limitare della zona residenziale della Clarina; accanto alla linea ferroviaria; il giardino di via Volta si rivela come un margine verde che impreziosisce il quartiere e ne apre i confini visivi verso il monte Bondone.Segue sinuoso i confini dei tranquilli cortili condominiali; dai quali è protetto da lunghe siepi; mentre sul lato strada alla bordura mista di arbusti locali (tra gli altri acero campestre; cornioli e viburni) si intervallano maestosi esemplari di Liquidambar e di alberi dei tulipani; rigogliosi grazie al suolo fresco e umido vicino all’Adige. Un viale protetto da tigli segue lo sviluppo del parco; da un’ampia zona caratterizzata dalla presenza di grandi pioppi neri disposti in cerchio che invitano alla sosta e al relax fino alle aree giochi e sportive che attraggono giovani e bambini. Da vedere in autunno; con lo splendido foliage dorato dei tigli e quello rosso delle querce palustri; dei Liriodendron e delle Liquidambar.",ingresso giardino da via volta; via ossana,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino del Maso Smalz  o dello skate,"Attrezzature per lo sport: parco acrobatico di 1.600 m2 con zona velocità e salti e zona acrobazie “street”; ping-pong
superficie 10.500 m2
In una zona densa di attrezzature sportive ma relativamente povera di luoghi di aggregazione; nei primi anni 2000 è stato realizzato questo giardino; un anello verde che circonda attrezzature per skaters e bikers. Queste sono state rinnovate recentemente grazie ad una fattiva collaborazione con un collettivo informale di giovani utenti che curano l’animazione dell’area.Nel giardino si trova anche una pista ad anello di circa 400 metri per roller che; grazie a sopraelevate e tunnel; non interferisce con l’area verde dove sono collocate zone per la sosta. Le chiome degli alberi hanno coloriture autunnali di particolare bellezza; grazie alla presenza di querce rosse; aceri tridente e betulle bianche.",via del maso smalz,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino via De Gaspari o Giardino meteorologico (del tempo che gira e ritorna),"Attrezzature: giochi per bambini; ping pong. Divieto di accesso ai cani nell'area giochi. 
Il giardino presente sul retro della ""scuola primaria Giovanni Battista De Gaspari"" e il cui accesso avviene da via San Pio X; con deliberazione del Consiglio comunale n. 19 del 12.02.2019; è stato denominato ""Giardino meteorologico (del tempo che gira e ritorna)"".",ingresso giardino da via s. pio x; via dei muredei sul retro della scuola primaria giovanni battista de gaspari,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino La Vela centro civico,Attrezzature: tavolo ping pong; area giochi per bambini,accesso da via ss. cosma e damiano,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Giuseppe Gilli o Lucio Susmel,Attrezzature: area giochi bimbi; campo pallavolo (sintetico); ping pong,via pranzelores; via gilli,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino fratelli Bernardi - ex Lungofersina,"Area giochi bimbi con molle; casette; altalene; scivolo; sabbiera
scacchiera gigante
superficie 9.300 m2
Situato sulla sommità dell’ampio argine destro del torrente Fersina; questo giardino è naturale punto di incontro di più quartieri e la sua posizione ne fa uno dei giardini più frequentati della città; amatissimo dai corridori e persone di ogni età grazie anche alla sua tranquillità e alla sua freschezza assicurata dal torrente e dalle fronde dei platani secolari. Il disegno del giardino è obbligato dalla forma rigida dell’argine che viene ripresa da una maglia ortogonale di viali pedonali e ciclabili; che delimitano ampie aree giochi per bambini e uno spazio con una scacchiera gigante.La vegetazione ripariale è ancora visibile in alcune piccole sponde naturali che ospitano anche uccelli acquatici come anatre; merli acquaioli; aironi e folaghe; mentre il parco è arricchito da ligustri; Ginkgo biloba dalle foglie a ventaglio; larghi cedri e piccole curiosità botaniche come i Poncirus trifoliata; spinosi agrumi ornamentali. Seguendo lo scorrere dell’acqua; nella parte finale si può raggiungere un frutteto-giardino aromatico; realizzato qualche decennio fa dall’Amministrazione comunale e coltivato dalle persone del quartiere. Il movimento dell’acqua e il tracciato della pista ciclabile invitano ad inoltrarsi a sud; in direzione dell’Adige e dell’uscita dalla città; in un percorso ciclopedonale periurbano tra l’inizio della campagna e i sempre più presenti orti urbani.",ingresso da via marsala; via cauriol; viale verona,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino piazza General Cantore,Attrezzature: scacchiera; area giochi per bambini,piazza general cantore; località cristo re,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Meano La Madonnina,"Area giochi bimbi con molle; altalene; combinato con torri e scivoli; casette
attrezzature per lo sport: porta da calcio; campo basket/volley
superficie 3.600 m2
divieto di accesso ai cani.
I giardini della Madonnina di Meano si trovano ai margini del centro storico del paese; ma rimangono comunque un polo di attrazione molto sentito soprattutto da bambini e famiglie. Limitrofi al cimitero e aventi a disposizione a poca distanza un campo sportivo polifunzionale; sono costituiti da due spazi separati da una quinta vegetale; che divide l’area giochi da un prato attrezzato con una porta da calcetto.Perimetralmente la zona è delimitata da un muretto e da alberature di faggi colonnari; mentre la zona gioco è ombreggiata da grandi pioppi. La disposizione della vegetazione; lo sguardo aperto sulla collina e l’atmosfera tranquilla ampliano gli spazi di questo giardino circondato da vigne e orti facendone un luogo piacevole in cui passare del tempo a margine della visita del bel borgo; accuratamente mantenuto e attrezzato con cartelli esplicativi dalla Pro Loco.",passeggiata filomena perghem; via maria pederzolli; via delle sugarine,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Romagnano,"Area giochi bimbi con molle; altalena; combinato con torre; scivolo e arrampicata; gioco del tris
attrezzature per lo sport: ping-pong; campo volley
superficie 2.500 m2
divieto di accesso ai cani.
Il giardino è stato realizzato nei primi anni del Duemila in concomitanza alla realizzazione di un complesso abitativo dell’Istituto trentino per l’edilizia abitativa (Itea); per questo sobborgo collocato all’estremo sud del territorio comunale; tra campi vitati e le pendici boscose del Monte Bondone.È un’area verde attrezzata all’interno di un tessuto urbano ricco di orti e di giardini privati. Sofore; frassini e noccioli di Costantinopoli ombreggiano panchine e giochi per i bambini; accanto ad un grande prato per le corse con il pallone.",via ai castagnari - romagnano,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
Giardino Povo Itea,Giardino di abbellimento case Itea. Attrezzature: campo pallavolo (asfalto),via sabbioni povo,ufficio.verde@comune.trento.it,,portale cartografico,parco / giardino
