legalName,address,municipaliy,openingHours,telephone,url
Associazione Sportiva Sportivando,"Via Brunner Giuseppe, 9",Trento,,0461091706,
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Piazza dalla Chiesa Carlo Alberto, 1",Levico Terme,,"0461708312, 0461708313",
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Via IV Novembre . Gardolo, 23",Trento,,0461959800,
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Via Menguzzato Veglia Clorinda, 6",Trento,,0461390785,
Azienda Speciale per La Gestione degli Impianti Sportivi del Comune di Trento,"Strada delle Viote, 1",Trento,,0461948032,
Body Planet,"Via Gentilotti Benedetto, 4",Trento,"sunday: 10:00 - 16:00, tuesday: 08:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 08:00 - 22:00, friday: 10:00 - 22:00, saturday: 08:00 - 22:00",0461910096,
Boulder City Asd,"Viale Daino, 74/C",Dro,,0464507354,
Break Point Golf Club,"Localit Maso Grillo, 4",Pergine Valsugana,"sunday: 08:30 - 21:00, monday: 08:30 - 21:00, tuesday: 08:30 - 21:00, wednesday: 08:30 - 21:00, thursday: 08:30 - 21:00, friday: 08:30 - 21:00, saturday: 08:30 - 21:00",3474647351,
Campi Da Calcio,"Via Santa Caterina, 6/4",Brentonico,,0464394051,
Campo Baseball,"Via Fersina, 17",Trento,,0461959812,
Campo Baseball,"Via Fersina, 2",Trento,"thursday: 15:15 - 21:00, saturday: 15:15 - 21:00",0461959812,
Campo Calcio Argentario,"Via Ponte Alto, 79",Trento,"tuesday: 08:30 - 17:00, thursday: 08:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30",0461992990,
Campo Calcio,"Via Lavisotto, 41",Trento,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461959812,
Campo Calcio Martignano,"Via Talvera, 11",Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30",0461959812,
Campo Calcio Meano,"Via Bellaria, 9",Trento,,0461959812,
Campo Calcio Piedicastello,"Via Santissimi Cosma e Damiano, 107",Trento,,0461959812,
Campo Calcio San Bortolomeo,"Viale degli Olmi, 44",Trento,,0461959812,
Campo Calcio Sopramonte,"Via di Mura, 24",Trento,,0461959812,
Campo Comunale Menarini,Via Menarini,Recoaro Terme,,,
Campo da Softball,Via Hubert Jedin,Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30",0461992990,
Campo di Atletica Leggera Comunale,"Via Maccani Ezio, 2",Trento,,0461830454,
Campo di Atletica Leggera Comunale,"Piazzale Camillo Rusconi, 5",Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 17:00, saturday: 08:30 - 12:30",0461959812,
Campo di Golf,Via Ferme,Roncegno Terme,,0461773337,
Campo Ghiaccio di Pergine,"Via al Ponte, 1/A",Pergine Valsugana,"sunday: 14:00 - 16:30, monday: 14:00 - 16:30, tuesday: 14:00 - 16:30, wednesday: 14:00 - 16:30, thursday: 14:00 - 16:00, friday: 14:00 - 16:30, saturday: 14:00 - 16:30",0461534423,
Campo Sportivo Comunale,Viale Lido,Levico Terme,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461706892,
Campo Sportivo Cristo Re,"Via Lavisotto, 41",Trento,,06992990,
Campo sportivo di Mori,"Via Dante, 10",Mori,,,
Campo Sportivo Fucine a Rovereto,Via Leonardo da Vinci,Rovereto,,,
Campo sportivo San Bartolomeo,Via degli Olmi,Trento,,0461992990,
Casa Gioventu',Via Fogazzaro,Torrebelvicino,,,
Centro di Tiro con l'Arco,"Via della Roggia, 45",Rovereto,"sunday: 10:00 - 22:00, monday: 10:00 - 22:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00","3665809997, 0464421569, 0464486113",
Centro Equestre Citt di Trento,"Via della Selva, 34",Trento,,,
Centro Equitazione Airone,"Localit Barco, 3",Levico Terme,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",3396768993,
Centro Ippico,"Via dei Paludi, 22",Baselga di Pin,"sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, tuesday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00",3470152778,
Centro Ippico Paoli,"Localit Lochere, 33",Caldonazzo,"sunday: 08:00 - 12:00 / 14:00 - 20:00, monday: 08:00 - 12:00 / 14:00 - 20:00, tuesday: 08:00 - 12:00 / 14:00 - 20:00, wednesday: 08:00 - 12:00 / 14:00 - 20:00, thursday: 08:00 - 12:00 / 14:00 - 20:00, friday: 08:00 - 12:00 / 14:00 - 20:00, saturday: 08:00 - 12:00 / 14:00 - 20:00","0461706186, 3200829633",
Centro Natatorio Comunale di Rovereto,"Via Udine, 1",Rovereto,"sunday: 09:00 - 19:30, monday: 09:00 - 19:30, tuesday: 09:00 - 20:30, wednesday: 09:00 - 20:30, thursday: 09:00 - 20:30, friday: 09:00 - 20:30, saturday: 09:00 - 20:30",0464435440,
Centro Natatorio Pergine Valsugana,"Via Marconi Guglielmo, 51",Pergine Valsugana,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 06:00 - 22:00, wednesday: 07:00 - 22:00, thursday: 06:00 - 22:00, friday: 07:00 - 22:00, saturday: 06:00 - 22:00",0461531773,
Centro Pilates e Gyrotonic,"Piazza del Duomo, 30",Trento,"sunday: 06:30 - 21:30, monday: 06:30 - 21:30, tuesday: 06:30 - 21:30, wednesday: 06:30 - 21:30, thursday: 06:30 - 21:30, friday: 06:30 - 21:30, saturday: 06:30 - 21:30",3398683083,
Centro Sportivo Di Trilacum,"Via 12 Settembre, 6",Trento,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",0461866471,
Centro Sportivo M. Zorzi Mattarello,"Via per Castel Vedro, 3",Trento,,0461959812,
Centro Sportivo M. Zorzi Mattarello,"Via del Capitel, 3",Trento,"tuesday: 08:30 - 12:30 / 14:30 - 17:00, wednesday: 08:30 - 12:30 / 14:30 - 17:00, thursday: 08:30 - 12:30 / 14:30 - 17:00, friday: 08:30 - 12:30 / 14:30 - 17:00, saturday: 08:30 - 12:30",0461959812,
Centro Sportivo Manazzon,"Via Fogazzaro Antonio, 2",Trento,"sunday: 09:00 - 19:00, monday: 09:00 - 13:00",0461924248,
Centro Sportivo Melta,"Via 25 Aprile, 10",Trento,,0461959812,
Centro Sportivo O. Ceschi - Gabbiolo,"Via alla Cros, 10",Trento,,0461959812,
Centro Sportivo Trento Nord Gardolo,"Via IV Novembre, 23/4",Trento,"sunday: 09:00 - 21:00, monday: 09:00 - 21:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00",0461959812,
Circolo Ippico La Roccia,"Localit Pianiza, 33",Trento,"sunday: 09:00 - 19:00, monday: 09:00 - 19:00, tuesday: 09:00 - 19:00, wednesday: 09:00 - 19:00, thursday: 09:00 - 19:00, friday: 09:00 - 19:00, saturday: 09:00 - 19:00",0461913143,
Circolo Tennis Arco,"Via Pomerio, 11",Arco,"sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30",0464516824,
Circolo Tennis Calisio,"Via Pradiscola, 1",Trento,"sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0461820040,
Circolo Tennis Grillo,"Via San Pio X, 117",Trento,"sunday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0461925234,
Circolo Tennis Pergine Assoc.Sport.Dilettantistica,"Viale Petri, 2",Pergine Valsugana,,0461532169,
Circolo Tennis Rovereto Asd,"Via Lungo Leno Destro, 25",Rovereto,"sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00","0464431045, 0464439377",
Circolo Tennis Rovereto,"Via della Roggia, 43",Rovereto,"sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0464431045,
Circolo Tennis Torbole,"Strada Granda, 67",Nago-Torbole,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3925442873,
Club Ippico San Giorgio,Localit San Giorgio Arco,Arco,"sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00",3484438307,
Dilettantistica Tennis Levico Terme,Localit Belvedere,Levico Terme,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3394631152,
Ecosport Italia S.r.l.,"Via Avisio, 24",Trento,,"0438837210, 043882778, 3295459087",
Equiparadiso,"Localit Saccone, 4",Brentonico,,0464390147,
Golf Club Rovereto,"Viale Caproni Giovanni, 44",Rovereto,,3666432648,
"Gym ""G. Pascoli""","Via Znojmo, 24",Trento,,0461992990,
Ice Rink Pin,"Via dello Via dello Stadio, 17",Baselga di Pin,"sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30 / 14:00 - 16:30, wednesday: 09:00 - 12:30 / 14:00 - 16:30, thursday: 09:00 - 12:30 / 14:00 - 16:30, friday: 09:00 - 12:30 / 14:00 - 16:30, saturday: 09:00 - 12:30 / 14:00 - 16:30",0461554167,
Ice Rink Pine',Via dello Stadio Fraz Miola 17,Baselga di Pin,,0461554167,
Ice Rink Pine' S.r.l.,"Frazione Miola, 17",Baselga di Pin,,0461557476,
Imperial Center,"Via Maccani Ezio, 88",Trento,,"3917414107, 0461262403",
Istituto Superiore Don Milani - Depero,"Via Balista, 2",Rovereto,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0464485511,
Juta Center,"Via Galilei Galileo, 32",Trento,"sunday: 10:00 - 20:00, tuesday: 07:00 - 22:30, wednesday: 07:00 - 22:30, thursday: 07:00 - 22:30, friday: 07:00 - 22:30, saturday: 07:00 - 22:30","0461230797, 3887278568",
Leno 2001,"Via Udine, 18",Rovereto,,0464400315,
Madonna Bianca,"Via Bettini Angelo, 2",Trento,,0461390785,
Maestri di Sci e Snowboard Cristallo A.T.P.,"Localita' Vason, 110",Trento,,3806328814,
Navarini,"Via Filari Longhi, 2/A",Trento,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461959812,
Palafonte,"Piazza Giovanni XXIII, 7",Ala,,"0464672883, 3338386367, 0464671261, 3470021458, 0464670205",
Palestra Povo,"Via dei Masi, 6",Trento,,0461959812,
Panarotta S.r.l.,"Localita' Panarotta, 1",Levico Terme,,3470333532,
Piastra del ghiaccio di San Valentino,Localit Mosee,Brentonico,,"0464391602, 0464395149",
Piscina Comunale Arco,"Via Legionari Cecoslovacchi, 14",Arco,,"0464517000, 0464516830",
Piscina di Ala,Piazza Giovanni XXIII,Ala,"sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30",0464672682,
Pista Motocross,Frazione Canezza,Pergine Valsugana,monday: 09:00 - 12:00 / 15:00 - 18:00,3283636093,
Polisportiva Montebaldo,Via S. Caterina,Brentonico,,0464394051,
Rocco Angelo Gestioni Impianti Sportivi,Via Maggiore,Roana,"sunday: 09:30 - 19:30, monday: 09:30 - 19:30, tuesday: 09:30 - 21:30, wednesday: 09:30 - 21:30, thursday: 09:30 - 21:30, friday: 09:30 - 21:30, saturday: 09:30 - 21:30",0424450154,
Schio Nuoto Societa' Sportiva Dilettantistica S.r.l.,"Via Istria, 30",Schio,,0445657852,
S.S. Buonconsiglio Nuoto,"Via Fogazzaro Antonio, 4",Trento,,"0461961625, 0461910464, 0461416164",
S.S. Buonconsiglio Nuoto,"Via IV Novembre, 23",Trento,,"0461416162, 0461910464, 0461961625, 0461416164, 0461416163",
S.S.D. Rari Nantes Valsugana a R.L.,"Piazza dalla Chiesa Carlo Alberto, 1",Levico Terme,,0461700373,
S.S.D. Rari Nantes Valsugana a R.L.,"Via Trieste, 7",Roncegno Terme,,0461525178,
Stadio Quercia,"Via Palestrina, 3",Rovereto,,,
Studio Tecnico Associato Gasperotti di Ing. Dott. Gasperotti Luca ed Ing. Dott. Gasperotti Giorgio,"Salita S. Agata, 23",Trento,,0461811409,
Tennis Club Ala Associaz.Sport.Dilettantistica,"Via dei Mille, 6",Ala,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",3403758921,
Tennis Club C10 Ass.Sportiva Dilettantistica,Via della Roggia,Rovereto,,0464431045,
Tennis Club Schio,"Via Ticino, 10",Schio,"sunday: 07:00 - 23:59, monday: 07:00 - 23:59, tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59","0445225705, 3890522483",
Tennis Club,"Via San Giovanni, 20",Mori,"sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0464917149,
Trim,"Via Chini Eusebio, 99/1",Trento,"sunday: 09:00 - 12:30 / 14:30 - 18:00, tuesday: 09:00 - 21:00, wednesday: 09:00 - 21:00, thursday: 09:00 - 21:00, friday: 09:00 - 21:00, saturday: 09:00 - 21:00","0461924604, 0461912600",
Vela Centro Sportivo,Localit Vela,Trento,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0461959812,
Woody Valley S.r.l.,Localita' Spini,Trento,,0461950811,
Woody Valley S.r.l.,"Via Vienna, 92",Trento,,360041005200,
Atletica Alto Garda E Ledro,"Via Pomerio, 9",Arco,"tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59",0464510346,
Societa' Sportiva Dilettantistica Golden Gym,"Via Terranera, 24/B",Mori,"sunday: 10:00 - 12:30, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30","3398423054, 3482105688",
A.S.I.S.,"Via IV Novembre, 23/4",Trento,,"0461992888, 0461959799, 0461992990",
