legalName,address,municipaliy,openingHours,telephone,url
Garda Sporting Club Hotel,"Via Antonio Abondio, 7",Riva del Garda,,0464552072,
2001 S.R.L.,"Via Lungo Leno Destro, 25/B",Rovereto,,0464439377,
Albergatori Tonezza,"Via Campana, 7",Tonezza del Cimone,,3428898244,
Altogarda Golf,Localit San Tomaso,Riva del Garda,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00",0365643006,
Amici Nuoto Riva,"Viale Rovereto, 45",Riva del Garda,,"3490586660, 0464311398, 0464520078, 3397376737",
Associazione Polisportiva Dilettantistica Kosmos Rovereto,"Via della Roggia, 45",Rovereto,,"0464666600, 3517595860, 3497721742, 0464942281",
Associazione Tennis Meeting Club,"Via Cornetto, 3",Valdagno,"sunday: 08:00 - 22:30, monday: 08:00 - 22:30, tuesday: 08:00 - 22:30, wednesday: 08:00 - 22:30, thursday: 08:00 - 22:30, friday: 08:00 - 22:30, saturday: 08:00 - 22:30",0445410535,
Ausiliario,"Via Saletti, 6",San Vito di Leguzzano,,,
Campi Da Calcio,"Via Santa Caterina, 6/4",Brentonico,,0464394051,
Campo Comunale,Via Papa Giovanni XXIII,Schio,,,
Campo Comunale,Via dello Sport,Valdagno,,,
Campo Comunale,Via Gramsci,Schio,,,
Campo Comunale Menarini,Via Menarini,Recoaro Terme,,,
Campo da calcio La Pineta di Folgaria,Via De Gasperi,Folgaria,,0464723131,
Campo Felice Nensi,Via Paina,Malcesine,,,
Campo Parrocchiale Di Monte,Via Europa,Monte di Malo,,,
Campo Pedemonte,Via Brancafora,Pedemonte,,,
Campo sportivo di Mori,"Via Dante, 10",Mori,,,
Campo Sportivo Fucine a Rovereto,Via Leonardo da Vinci,Rovereto,,,
Campo Sportivo Moar,"Frazione Azzolini, 82",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464783179,
Casa Gioventu',Via Fogazzaro,Torrebelvicino,,,
Centro di Tiro con l'Arco,"Via della Roggia, 45",Rovereto,"sunday: 10:00 - 22:00, monday: 10:00 - 22:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00","3665809997, 0464421569, 0464486113",
Centro Ippico Il Salice,"Via Carducci Giosue', 98",Folgaria,,3487842363,
Centro Natatorio Comunale di Rovereto,"Via Udine, 1",Rovereto,"sunday: 09:00 - 19:30, monday: 09:00 - 19:30, tuesday: 09:00 - 20:30, wednesday: 09:00 - 20:30, thursday: 09:00 - 20:30, friday: 09:00 - 20:30, saturday: 09:00 - 20:30",0464435440,
Centro Natatorio Folgaria,"Via Nazioni Unite, 21/B",Folgaria,"sunday: 15:30 - 20:30, monday: 15:30 - 20:30, tuesday: 10:00 - 21:00, wednesday: 10:00 - 21:00, thursday: 10:00 - 21:00, friday: 10:00 - 21:00, saturday: 10:00 - 21:00",0464720058,
Circolo Ippico Castel Beseno,"Via Morini, 26",Calliano,"sunday: 14:00 - 15:00, monday: 14:00 - 15:00, wednesday: 14:00 - 15:00, thursday: 14:00 - 15:00, friday: 14:00 - 15:00, saturday: 14:00 - 15:00",0464834483,
Circolo Tennis Arco,"Via Pomerio, 11",Arco,"sunday: 09:00 - 19:00, tuesday: 09:00 - 22:30, wednesday: 09:00 - 22:30, thursday: 09:00 - 22:30, friday: 09:00 - 22:30, saturday: 09:00 - 22:30",0464516824,
Circolo Tennis Lavarone A.S.D.,"Frazione Gionghi, 107",Lavarone,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0464724146,
Circolo Tennis Rovereto Asd,"Via Lungo Leno Destro, 25",Rovereto,"sunday: 07:30 - 22:00, monday: 07:30 - 22:00, tuesday: 07:30 - 22:00, wednesday: 07:30 - 22:00, thursday: 07:30 - 22:00, friday: 07:30 - 22:00, saturday: 07:30 - 22:00","0464431045, 0464439377",
Circolo Tennis Rovereto,"Via della Roggia, 43",Rovereto,"sunday: 09:00 - 20:00, monday: 09:00 - 20:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0464431045,
Circolo Tennis Torbole,"Strada Granda, 67",Nago-Torbole,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",3925442873,
Club Ippico San Giorgio,Localit San Giorgio Arco,Arco,"sunday: 09:00 - 12:00 / 14:00 - 19:00, monday: 09:00 - 12:00 / 14:00 - 19:00, wednesday: 09:00 - 12:00 / 14:00 - 19:00, thursday: 09:00 - 12:00 / 14:00 - 19:00, friday: 09:00 - 12:00 / 14:00 - 19:00, saturday: 09:00 - 12:00 / 14:00 - 19:00",3484438307,
Comune di Riva del Garda,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Equiparadiso,"Localit Saccone, 4",Brentonico,,0464390147,
Famila Basket Schio S.r.l. Societa' Sportiva Dilettantistica,"Via Tuzzi, 33",Schio,,"0445576116, 0445528734",
Famila Basket Schio S.r.l. Societa' Sportiva Dilettantistica,"Via Manin Daniele, 1",Schio,,"0445517759, 0445824899, 0445576116",
Famila Basket Schio S.r.l. Societa' Sportiva Dilettantistica,"Viale Industria, 96",Schio,,0445576116,
Famila Basket Schio S.r.l. Societa' Sportiva Dilettantistica,"Via Liviera, 4",Schio,,0445954620,
Famila Basket Schio S.r.l. Societa' Sportiva Dilettantistica,"Via Pozza, 27",Schio,,0445954648,
Fly2fun Parapendio Biposto,Localit Sottodossi,Malcesine,,3349469757,
Golf Club Folgaria,Localit Maso Spilzi,Folgaria,,0464720480,
Golf Club Rovereto,"Viale Caproni Giovanni, 44",Rovereto,,3666432648,
Golf Club Villa Garziere,"Via Garziere, 61",Santorso,"sunday: 10:00 - 19:00, monday: 10:00 - 19:00, wednesday: 10:00 - 19:00, thursday: 10:00 - 19:00, friday: 10:00 - 19:00, saturday: 10:00 - 19:00",3425097984,
Istituto Superiore Don Milani - Depero,"Via Balista, 2",Rovereto,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0464485511,
Joyfitness Club,"Localit Acquaviva, 4",Trento,"sunday: 10:00 - 17:00, tuesday: 10:00 - 22:00, wednesday: 10:00 - 22:00, thursday: 10:00 - 22:00, friday: 10:00 - 22:00, saturday: 10:00 - 22:00",3286165313,
Leno 2001,"Via Udine, 18",Rovereto,,0464400315,
Mtr Team,"Via Tomba Antonio, 5",Valdagno,,0445430114,
Palagarda,"Via San Tommaso, 69",Riva del Garda,,"0464555772, 0464554551",
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Palalido Valdagno Calcio 5,Via Colombo,Valdagno,,,
Palasport di Folgaria,"Via Nazioni Unite, 21/B",Folgaria,,0464720277,
Palasport Livio Romare,"Viale Industria, 90",Schio,"sunday: 09:00 - 12:00 / 16:00 - 22:00, monday: 09:00 - 12:00 / 16:00 - 22:00, tuesday: 09:00 - 12:00 / 16:00 - 22:00, wednesday: 09:00 - 12:00 / 16:00 - 22:00, thursday: 09:00 - 12:00 / 16:00 - 22:00, friday: 09:00 - 12:00 / 16:00 - 22:00, saturday: 09:00 - 12:00 / 16:00 - 22:00","0445691111, 0445611531",
Palazzetto dello Sport,"Via Piomarta, 1",Rovereto,,"0464438055, 0464413377",
Palazzetto Dello Sport Don Bosco,"Via Marconi Guglielmo, 14",Schio,"tuesday: 15:00 - 23:00, wednesday: 15:00 - 23:00, thursday: 15:00 - 23:00, friday: 15:00 - 23:00, saturday: 15:00 - 23:00",0445521519,
Piastra del ghiaccio di San Valentino,Localit Mosee,Brentonico,,"0464391602, 0464395149",
Piscina Comunale Arco,"Via Legionari Cecoslovacchi, 14",Arco,,"0464517000, 0464516830",
Piscina Comunale Avio,"Viale De Gasperi, 27",Avio,,0464684288,
Piscina Comunale Enrico Meroni,"Piazza Contini Maria, 5",Riva del Garda,,0464520078,
Piscina Valdagno,"Lungo Agno Manzoni A., 15",Valdagno,"sunday: 08:00 - 22:00, monday: 08:00 - 22:00, tuesday: 08:00 - 22:00, wednesday: 08:00 - 22:00, thursday: 08:00 - 22:00, friday: 08:00 - 22:00, saturday: 08:00 - 22:00",0445413638,
Piscine Comunali Schio,"Via dello Sport, 6",Schio,,0445511111,
Polisportiva Montebaldo,Via S. Caterina,Brentonico,,0464394051,
Riva S.a.s. di Schneider Wilma e C.,"Viale Tigli, 40",Riva del Garda,,"3292146937, 0464552072",
Schio Nuoto Societa' Sportiva Dilettantistica S.r.l.,"Via Tuzzi, 55/H",Schio,,0445826620,
Schio Nuoto Societa' Sportiva Dilettantistica S.r.l.,"Via Istria, 30",Schio,,0445657852,
Stadio Quercia,"Via Palestrina, 3",Rovereto,,,
Swimming Why Not,"Lungo Agno Manzoni A., 15",Valdagno,,"0445413638, 3482266720",
Teatro San Nicolo',"Piazzetta Don Antonio Quarella, 1",Rover Veronese,,0455867740,
Tennis Club C10 Ass.Sportiva Dilettantistica,Via della Roggia,Rovereto,,0464431045,
Tennis Club Santorso,"Via del Grumo, 6",Santorso,,3472979578,
Tennis Club Schio,"Via Ticino, 10",Schio,"sunday: 07:00 - 23:59, monday: 07:00 - 23:59, tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59","0445225705, 3890522483",
Tennis Club,"Via San Giovanni, 20",Mori,"sunday: 09:00 - 23:00, monday: 09:00 - 23:00, tuesday: 09:00 - 23:00, wednesday: 09:00 - 23:00, thursday: 09:00 - 23:00, friday: 09:00 - 23:00, saturday: 09:00 - 23:00",0464917149,
Tennis Club Valdagno,"Via Carducci Giosue', 5",Valdagno,"sunday: 08:30 - 18:30, monday: 08:30 - 12:30, tuesday: 09:00 - 12:30 / 15:00 - 19:00, wednesday: 09:00 - 12:30 / 15:00 - 19:00, thursday: 09:00 - 12:30 / 15:00 - 19:00, friday: 09:00 - 12:30 / 15:00 - 19:00, saturday: 09:00 - 12:30 / 15:00 - 19:00",0445410525,
Tennisclinic,"Via Belluno, 4",Riva del Garda,,3270808849,
U.S. S.Anna d'Alfaedo,"Via Cesare Battisti, 180",Sant'Anna d'Alfaedo,,0457519004,
We Beat,"Via Lago di Lugano, 5",Schio,"sunday: 08:00 - 18:00, monday: 08:00 - 14:00, tuesday: 06:00 - 22:30, wednesday: 06:00 - 22:30, thursday: 06:00 - 22:30, friday: 06:00 - 22:30, saturday: 06:00 - 22:30",0445576615,
We Beat,"Via Monte Ortigara, 18",Cornedo Vicentino,"sunday: 08:00 - 18:00, monday: 08:00 - 18:00, tuesday: 06:00 - 23:00, wednesday: 06:00 - 23:00, thursday: 06:00 - 23:00, friday: 06:00 - 23:00, saturday: 06:00 - 23:00",0445431252,
Palaghiaccio Palafolgaria,"Via Nazioni Unite, 46",Folgaria,,0464720337,
Atletica Alto Garda E Ledro,"Via Pomerio, 9",Arco,"tuesday: 07:00 - 23:59, wednesday: 07:00 - 23:59, thursday: 07:00 - 23:59, friday: 07:00 - 23:59, saturday: 07:00 - 23:59",0464510346,
Societa' Sportiva Dilettantistica Golden Gym,"Via Terranera, 24/B",Mori,"sunday: 10:00 - 12:30, tuesday: 09:00 - 21:30, wednesday: 09:00 - 21:30, thursday: 09:00 - 21:30, friday: 09:00 - 21:30, saturday: 09:00 - 21:30","3398423054, 3482105688",
