legalName,address,municipaliy,openingHours,telephone,url
Appiano,"Via Cappuccini, 23",Appiano sulla Strada del Vino,"tuesday: 09:00 - 12:00 / 14:00 - 17:00, wednesday: 09:00 - 12:00 / 14:00 - 17:00, thursday: 09:00 - 12:00 / 14:00 - 17:00, friday: 09:00 - 12:00 / 14:00 - 17:00, saturday: 09:00 - 12:00 / 14:00 - 17:00",0471661165,
Asd Sarnonico,"Viale San Lorenzo, 4",Sarnonico,"tuesday: 17:00 - 21:30, wednesday: 17:00 - 21:30, thursday: 17:00 - 21:30, friday: 17:00 - 21:30, saturday: 17:00 - 21:30",3480938543,
A.S.V. Tramin - Sektion Tennis,"Via Weinstrasse, 154",Termeno sulla Strada del Vino,,0471860812,
Black Ice S.n.c. di Bettin Yuri & C.,"Via al Dos Ciastel, 4",Fai della Paganella,,3292599675,
Campo Di Tiro - Centro Promescaiol,"Strada Provinciale degli Ortioi, 1",Mezzana,"sunday: 08:00 - 23:00, monday: 08:00 - 23:00, tuesday: 08:00 - 23:00, wednesday: 08:00 - 23:00, thursday: 08:00 - 23:00, friday: 08:00 - 23:00, saturday: 08:00 - 23:00",0463757451,
Campo sportivo di Mezzocorona,Via San Giovanni Bosco,Mezzocorona,,,
Carli Sport S.r.l.,"Via Cane', 7",Mezzocorona,,0461605049,
Centro Equitazione Alpina Val,Localit Pressenago,Pellizzano,,"0463751552, 3386078681",
Centro Equitazione Andalo,"Via Priori, 16",Andalo,"sunday: 09:00 - 12:00 / 14:00 - 18:00, monday: 09:00 - 12:00 / 14:00 - 18:00, wednesday: 09:00 - 12:00 / 14:00 - 18:00, thursday: 09:00 - 12:00 / 14:00 - 18:00, friday: 09:00 - 12:00 / 14:00 - 18:00, saturday: 09:00 - 12:00 / 14:00 - 18:00",0461585900,
Centro Sportivo Comunale Di Mezzana,"Via del Pressenach, 1",Mezzana,"sunday: 09:00 - 22:00, monday: 09:00 - 22:00, tuesday: 09:00 - 22:00, wednesday: 09:00 - 22:00, thursday: 09:00 - 22:00, friday: 09:00 - 22:00, saturday: 09:00 - 22:00",0463757551,
Centro Sportivo Terme,Viale San Camillo,Peio,"sunday: 00:00 - 23:59, monday: 00:00 - 23:59, tuesday: 00:00 - 23:59, wednesday: 00:00 - 23:59, thursday: 00:00 - 23:59, friday: 00:00 - 23:59, saturday: 00:00 - 23:59",0463753100,
Comune di Caldaro sulla Strada del Vino,"Via Castelvecchio, 45",Caldaro sulla Strada del Vino,,0471961114,
Dolomiti Golf Club,"Localita' Centro Sportivo Verde, 1",Sarnonico,"sunday: 08:30 - 19:30, monday: 08:30 - 19:30, tuesday: 08:30 - 19:30, wednesday: 08:30 - 19:30, thursday: 08:30 - 19:30, friday: 08:30 - 19:30, saturday: 08:30 - 19:30",0463832698,
Golf Club Campo Carlo Magno,"Via Cima Tosa, 15",Pinzolo,"sunday: 08:00 - 18:00, monday: 08:00 - 18:00, tuesday: 08:00 - 18:00, wednesday: 08:00 - 18:00, thursday: 08:00 - 18:00, friday: 08:00 - 18:00, saturday: 08:00 - 18:00",0465440622,
Golf Club Carezza Freudenstein,"Strada Sasso Croce, 6",Appiano sulla Strada del Vino,,"0471660332, 3393271291",
Golf Club Carezza Freudenstein,"Strada Masaccio, 3",Appiano sulla Strada del Vino,,3393271291,
Maneggio Ranch Roen,Via Roen,Amblar-Don,"sunday: 08:00 - 20:00, monday: 08:00 - 20:00, tuesday: 08:00 - 20:00, wednesday: 08:00 - 20:00, thursday: 08:00 - 20:00, friday: 08:00 - 20:00, saturday: 08:00 - 20:00","0463830077, 3395026924",
Markspeed Race di Marchesan Gianni,"Via Nambino, 27",Pinzolo,,3356266636,
Palasmeraldo Fondo,Via Lago Smeraldo,Borgo d'Anaunia,"sunday: 09:00 - 12:30, tuesday: 09:00 - 12:30, wednesday: 09:00 - 12:30, thursday: 09:00 - 12:30, friday: 09:00 - 12:30, saturday: 09:00 - 12:30",0463850000,
Pista da Pattinaggio sul Ghiaccio,Localit Dossi,Predaia,,"0463536085, 3385037536",
Sportarena Unterland,"Via Brenner, 7",Egna,,"0471820900, 0471813614, 0471813613",
Sportarena Unterland,"Via Brennero, 7",Egna,,"0471813625, 0471820900, 0471813613, 0471823224, 0471813614, 3382285799",
Tennisclub Dilettanti Laghetti,"Via Cauria, 57",Egna,,3407433050,
Terme di Pejo,"Via delle Acque Acidule, 3",Peio,,0463753226,
Tiro a Segno Nazionale - Sezione Appiano S. Michele,"Via Cappuccini, 25/A",Appiano sulla Strada del Vino,,0471664588,
Wild Goose Stadium,"Via Roma, 14",Egna,,0471812649,
Scuola Italiana Sci CCM Campiglio,"Via Zeledria, 8",Pinzolo,"sunday: 08:00 - 19:00, monday: 08:00 - 19:00, tuesday: 08:00 - 19:00, wednesday: 08:00 - 19:00, thursday: 08:00 - 19:00, friday: 08:00 - 19:00, saturday: 08:00 - 19:00",0465443222,
