Titolo;"Titolo breve";Immagine;Descrizione;"Locandina dell'evento";Inizio;Termine;Durata;Quando;Dove;Informazioni;Destinatari;Costi;Stato;Materia;Circoscrizione;Argomento;"Tipologia evento";"Manifestazione cui fa parte";Associazione;Progressivo;Sottotitolo;Orario;"Posizione geografica";Fonte
"Dal Pagano al Cristiano : mostra di archeologia alla Domus Romana";;var/mezzocorona/storage/images/turismo/calendario/dal-pagano-al-cristiano-mostra-di-archeologia-alla-domus-romana/101076-1-ita-IT/Dal-Pagano-al-Cristiano-mostra-di-archeologia-alla-Domus-Romana.jpg|;"Mostra Incontri d'arte-Kunst Treff organizzata dalla cooperativa Dirò.Dal Pagano al Cristiano: esempi di trasformazione del culto nell’antichità, con particolare riferimento alla Via Claudia Augusta.Esposizione di alcuni esempi archeologici e storici emblematici che illustrano le modalità sorprendenti tramite cui il culto del cristianesimo ha sostituito il paganesimo nell’antichità. La Via Claudia Augusta e i paesi della Valle dell’Adige offrono alcune testimonianze notevoli, capaci di dare una nuova chiave di lettura al nostro presente.Questa mostra è propedeutica alla realizzazione della terza edizione della mostra d’arte collettiva “Incontri d’Arte” che sarà dedicata al tema di grande attualità delle trasformazioni del culto religioso.Organizza la Cooperativa Dirò in collaborazione con il Consorzio Turistico Piana Rotaliana Königsberg.DoveDomus Romana di MezzocoronaVia Romana, 27 - Mezzocorona (TN)Quado?il 26 e 27 novrembre, il 3 e il 4 dicembre, il 10 e l'11 dicembre in orario 10-12Inaugurazione il 26 novembre ore 10.30";;26/11/2016;26/11/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Pranzo di chiusura attività e escursione a Folgaria della SAT";;var/mezzocorona/storage/images/turismo/calendario/pranzo-di-chiusura-attivita-e-escursione-a-folgaria-della-sat/101745-1-ita-IT/Pranzo-di-chiusura-attivita-e-escursione-a-Folgaria-della-SAT.jpg|;"Pranzo di chiusura attività e escursione a Folgaria della SATNel file allegato tutto il programmaIl programma è nell'allegato file PDF";"www.comune.mezzocorona.tn.it/content/download/9346/101747/Pranzo chiusura.pdf";06/11/2016;06/11/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"“Trento e Cesare Battisti a 100 anni dalla morte”: documentario in biblioteca";;var/mezzocorona/storage/images/turismo/calendario/trento-e-cesare-battisti-a-100-anni-dalla-morte-documentario-in-biblioteca/102539-1-ita-IT/Trento-e-Cesare-Battisti-a-100-anni-dalla-morte-documentario-in-biblioteca.jpg|;"“Trento e Cesare Battisti a 100 anni dalla morte”Proiezione del documentarioin biblioteca a Mezzocorona&nbsp,MARTEDI’ 22 NOVEMBRE ORE 17.00-17.45Nel 2016 si contano cento anni da quando Cesare Battisti è stato catturato dagli austriaci e condannato a morte nel Castello del Buonconsiglio. Il documentario mostra l'intera vita del politico trentino: giovane liceale ribelle e universitario in Italia, geografo, giornalista e socialista. Scritto e condotto da Elena Tonezzer,&nbsp, Regia di Andrea Andreotti, Intervengono: Claudio Ambrosi, Quinto Antonelli, Mariapia Bigaran, Riccardo Decarli, Giuseppe Ferrandi, Diego Leoni, Alessio Quercioli, Fabrizio Rasera, Mirko Saltori- Realizzato da FilmWork-TrentoCon il contributo di : Comune di Trento ,&nbsp, Fondazione Museo storico del Trentino. Ingresso libero&nbsp,";;22/11/2016;22/11/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Serata informativa sulla donazione degli organi";;var/mezzocorona/storage/images/turismo/calendario/serata-informativa-sulla-donazione-degli-organi/102622-1-ita-IT/Serata-informativa-sulla-donazione-degli-organi.png|;"Serata informativa sul Consenso alla donazione di organi e tessuti con la dott.ssa Pilati Luciagiovedì 1 dicembre ore 20.30Palazzo della Vicinia - sede Biblioteca, piano mansardaSaranno presenti dei testimoni";"www.comune.mezzocorona.tn.it/content/download/9406/102624/volantino AIDO Sezione Mezzocorona.docx";01/12/2016;01/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Info point del Servizio civile";;var/mezzocorona/storage/images/turismo/calendario/info-point-del-servizio-civile/102676-1-ita-IT/Info-point-del-Servizio-civile.jpg|;"domenica 13 novembre alle 11,30 presso il piazzale dell'Oratorio sarà allestito un info-point del servizio civile";"www.comune.mezzocorona.tn.it/content/download/9410/102678/Locandina Info point 13 novembre 2016.pptx";13/11/2016;13/11/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Note di Natale 2016: tutto il programma";;var/mezzocorona/storage/images/turismo/calendario/note-di-natale-2016-tutto-il-programma/102883-1-ita-IT/Note-di-Natale-2016-tutto-il-programma.png|;"In allegato il programma della manifestazione intercomunale che coinvolge i comuni della Comunità Rotaliana Koenigsberg dal 7 dicembre 2016 al 7 gennaio 2017";"www.comune.mezzocorona.tn.it/content/download/9426/102885/Note di Natale locandina 2016.pdf";07/12/2016;07/12/2016;;;;;;;;;;;Manifestazione;;;;;;;
"Io voto.. informato!";;;"Il gruppo Scout &quot,Mezzocorona 1&quot, organizza un confronto informativo sul referendum del 4 dicembre.Auditorium Cassa Rurale: martedì 15 novembre ore 20,00";"www.comune.mezzocorona.tn.it/content/download/9454/103278/io voto..informato (003).pdf";15/11/2016;15/11/2016;;;"Auditorium Cassa Rurale di Mezzocorona";;;;;;;;"Evento singolo";;"Gruppo Scout Agesci Mezzocorona";;;;;
"Arriva S. Nicolò con il Melograno";;var/mezzocorona/storage/images/turismo/calendario/arriva-s.-nicolo-con-il-melograno/103359-1-ita-IT/Arriva-S.-Nicolo-con-il-Melograno.jpg|;"Il circolo culturale ricreativo &quot,Il Melograno&quot, organizza per il 5.12.2016 alle ore 16.30 la sfilata di S. NicolòTutto il programma nell'allegato!";"www.comune.mezzocorona.tn.it/content/download/9460/103361/SAN NICOLO' 2016 (004).pdf";05/12/2016;05/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Il Monte e Jimmy Pellegrini su Trentino TV";;var/mezzocorona/storage/images/turismo/calendario/il-monte-e-jimmy-pellegrini-su-trentino-tv/103430-1-ita-IT/Il-Monte-e-Jimmy-Pellegrini-su-Trentino-TV.jpg|;"Venerdì 18 novembre 2016 ad ore 20,30 su Trentino TV all'interno della trasmissione Sport Avventura sarà dedicato ampio spazio al record del mondo dell'atleta Jimmy Pellegrini.In studio, oltre all'atleta, il Sindaco e l'assessore allo sport Matteo Permer per parlare del nostro Monte.";;18/11/2016;18/11/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"50 anni fondazione AVIS comunale";;;"domenica 27 novembre: 50 anni di fondazioneprogramma: ore 8,45 - ritrovo dei partecipanti in Piazza della Chiesa- 9,30: Santa Messa- 10,30: corteo con la Banda musicale di Mezzocorona ed inaugurazione Parco dott. Francesco Martini,- 11,30: cerimonia, discorsi e benemerenze presso Auditorium Cassa Rurale";"www.comune.mezzocorona.tn.it/content/download/9502/103795/AVIS 50°MEZZOCORONA.jpg";27/11/2016;27/11/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"""GALÁ di NATALE 2016"" organizzato dai Fisarmonici di Mezzocorona per i Terremotati di Amatrice";;var/mezzocorona/storage/images/turismo/calendario/gala-di-natale-2016-organizzato-dai-fisarmonici-di-mezzocorona-per-i-terremotati-di-amatrice/104284-1-ita-IT/GALA-di-NATALE-2016-organizzato-dai-Fisarmonici-di-Mezzocorona-per-i-Terremotati-di-Amatrice.jpg|;"Quest'anno, il Palarotari di Mezzocorona ospiterà il &quot,GALÁ di NATALE 2016&quot, organizzato dai Fisarmonici di Mezzocorona per i Terremotati di Amatrice.GLI OSPITI DI QUESTA IMPERDIBILE SERATA SARANNO:-I Fisarmonici di Mezzocorona-Coro &quot,Laboratorio di Ravina&quot,-Coro &quot,Voci del Bondone&quot,-Sabrina Modena-Roberto Garniga-Mia De Luca-Giulia Marchel e Tiziano Martinelli";;10/12/2016;10/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Jimmy Pellegrini ed il suo record";;;"martedì 29 novembre ad ore 20,00 presso l'Auditorium della Cassa Rurale di Mezzocorona, incontro con Jimmy Pellegrini per rivivere le emozioni del record mondiale conquistato sul nostro Monte.";"www.comune.mezzocorona.tn.it/content/download/9539/104317/Pellegrini Jimmy - monte.jpg";29/11/2016;29/11/2016;;;"Auditorium Cassa Rurale";;;;;;;;"Evento singolo";;;;;;;
"Concerto di Natale Coro Rigoverticale";;var/mezzocorona/storage/images/turismo/calendario/concerto-di-natale-coro-rigoverticale/104355-1-ita-IT/Concerto-di-Natale-Coro-Rigoverticale.jpg|;"domenica 18 dicembre 2016 ad ore 20,45 presso la Chiesa di Santa Maria Assunta di Mezzocorona,concerto di Natale con il Coro Rigoverticale ed il Coro Le Maddalene di Revò";;18/12/2016;18/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Castagnata della SAT per chiusura attività con proiezioni";;var/mezzocorona/storage/images/turismo/calendario/castagnata-della-sat-per-chiusura-attivita-con-proiezioni/104979-1-ita-IT/Castagnata-della-SAT-per-chiusura-attivita-con-proiezioni.jpg|;"Sat Mezzocorona proponeSERATA DI PROIEZIONE DELLE GITE DEL 2016pressoSALA POLIFUNZIONALE DEL CENTRO DI PROTEZIONE CIVILE(caserma Vigili del Fuoco entrata da via Kennedy)VENERDI' 9 dicembre 2016ad ore 20.30Seguirà bicchierata con castagne";;09/12/2016;09/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"""Arrivano i re magi"" canta della stella e concerto corale organizzati dall'Oratorio";;var/mezzocorona/storage/images/turismo/calendario/arrivano-i-re-magi-canta-della-stella-e-concerto-corale-organizzati-dall-oratorio/105683-3-ita-IT/Arrivano-i-re-magi-canta-della-stella-e-concerto-corale-organizzati-dall-Oratorio.png|;"ARRIVANO I&nbsp,RE MAGI !CANATA DELLA STELLAGIOVEDI’ 5 GENNAIO 2017DOPO LA SANTA MESSA DELLE ORE 18,00SEGUIRA’ CONCERTO DI CANTI NATALIZI PROPOSTI DAI CORI “DON VALENTINO” , “PARROCCHIALE” E “RIGO VERTICALE”. LA MANIFESTAZIONE PROSEGUIRA’ &nbsp,CON LA TRADIZIONALE SFILATA DEI RE MAGI ED I PASTORI PER IL CENTRO STORICO DEL PAESEALLA FINE DELLA SFILATARITROVO IN SALA DON VALENTINO DOVE SI POTRA’ GUSTARE UN BUON PIATTO DI ORZETTO ALLA TRENTINA ACCOMPAGNATO DA BUON VINO E DOLCITUTTI SONO CORDIALMENTE INVITATIdai più piccoli ai più anziani&nbsp,";;05/01/2017;05/01/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Rassegna teatrale S. Gottardo: ""''Na batuda per 'na risada""";;var/mezzocorona/storage/images/turismo/calendario-eventi/rassegna-teatrale-s.-gottardo-na-batuda-per-na-risada/105708-2-ita-IT/Rassegna-teatrale-S.-Gottardo-Na-batuda-per-na-risada.jpg|;"Il giorno 6 maggio e il giorno 7 maggio alle ore 20.45 presso il teatro S. Gottardo dell'Oratorio di Mezzocorona&nbsp,LA FILO SAN GOTTARDO MEZZOCORONA presenta &quot,BASTA NA BATUDA PER NA RISADA&quot, spettacolo di cabaret con regia di gruppo.La data è stata modificata rispetto a quanto comunicato con la newsletter del giorno 7.4.2017";;06/05/2017;07/05/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Rassegna teatrale S. Gottardo: ""Pareria de sì""";;var/mezzocorona/storage/images/turismo/calendario/rassegna-teatrale-s.-gottardo-pareria-de-si/105733-1-ita-IT/Rassegna-teatrale-S.-Gottardo-Pareria-de-si.jpg|;"Il giorno 18/03/2016 alle ore 20.45 presso il teatro S. Gottardo dell'Oratorio di MezzocoronaLA FILODRAMMATICA TASSULLO presenta la commedia super comica in dialetto trentino &quot,PARERIA DE SI' &quot,";;18/03/2017;18/03/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Rassegna teatrale S. Gottardo: ""Parcheggio a pagamento""";;var/mezzocorona/storage/images/turismo/calendario/rassegna-teatrale-s.-gottardo-parcheggio-a-pagamento/105758-1-ita-IT/Rassegna-teatrale-S.-Gottardo-Parcheggio-a-pagamento.jpg|;"Sabato 1 aprile 2017 alle ore 20.45&nbsp,presso il teatro S. Gottardo dell'Oratorio di Mezzocorona:LA FILO ARCOBALENO DI ARCO presenta la commedia &quot,PARCHEGGIO A PAGAMENTO&quot,";;01/04/2017;01/04/2017;;;;;;;;;;;Manifestazione;;;;;;;
"Rassegna teatrale S. Gottardo: ""La nef del zio Anselmo""";;var/mezzocorona/storage/images/turismo/calendario/rassegna-teatrale-s.-gottardo-la-nef-del-zio-anselmo/105783-1-ita-IT/Rassegna-teatrale-S.-Gottardo-La-nef-del-zio-Anselmo.jpg|;"Sabato 4 marzo 2017 alle ore 20.45&nbsp,presso il teatro S. Gottardo dell'Oratorio di Mezzocorona:LA FILO SAN ROCCO DI NAVE SAN ROCCO presenta la commedia brillante piena di colpi di scena e continue situazioni comiche &quot,LA NEF DEL ZIO ANSELMO&quot,";;04/03/2017;04/03/2017;;;;;;;;;;;Manifestazione;;;;;;;
"Rassegna teatrale S. Gottardo: ""El saria masa bel se fusa vera""";;var/mezzocorona/storage/images/turismo/calendario/rassegna-teatrale-s.-gottardo-el-saria-masa-bel-se-fusa-vera/105808-1-ita-IT/Rassegna-teatrale-S.-Gottardo-El-saria-masa-bel-se-fusa-vera.jpg|;"Sabato 21 gennaio 2017 alle ore 20.45&nbsp,presso il teatro S. Gottardo dell'Oratorio di Mezzocorona:LA COMPAGNIA FILODRAMMATICA CIVEZZANO presenta la commedia in due tempi in dialetto trentino di Adriana Zandini &quot,EL SARIA MASA BEL SEL FUSA VERA&quot,";;21/01/2017;21/01/2017;;;;;;;;;;;Manifestazione;;;;;;;
"Rassegna teatrale S. Gottardo: ""LA PARONA DEL GRANT HOTEL INTERNETIONAL""";;var/mezzocorona/storage/images/turismo/calendario/rassegna-teatrale-s.-gottardo-la-parona-del-grant-hotel-internetional/105833-1-ita-IT/Rassegna-teatrale-S.-Gottardo-LA-PARONA-DEL-GRANT-HOTEL-INTERNETIONAL.jpg|;"Sabato 04/02/2017 alle ore 20.45&nbsp,presso il teatro S. Gottardo dell'Oratorio di Mezzocorona:LA COMPAGNIA CANALE DI PERGINE presenta la commedia &quot,LA PARONA DEL GRANT HOTEL INTERNETIONAL&quot,";;04/02/2017;04/02/2017;;;;;;;;;;;Manifestazione;;;;;;;
"Rassegna teatrale S. Gottardo con la Logeta de Gardol ";;var/mezzocorona/storage/images/turismo/calendario/rassegna-teatrale-s.-gottardo-con-la-logeta-de-gardol/105858-1-ita-IT/Rassegna-teatrale-S.-Gottardo-con-la-Logeta-de-Gardol.jpg|;"Sabato 18/02/0216 alle ore 20.45presso il teatro S. Gottardo dell'Oratorio di Mezzocorona:la compagnia amatoriale FILODRAMMATICA LA LOGETA DI GARDOLO presenta una commedia esilarante, frizzante e un po' &quot,osè&quot, dal titolo &quot,E se fusa la fin dela lege Merlin?&quot,(seguirà locandina)";;18/02/2017;18/02/2017;;;;;;;;;;;Manifestazione;;;;;;;
"Al de qua e al de là del Nos con la SAT: auguri al ""Pont dele Fosine""";;var/mezzocorona/storage/images/turismo/calendario/al-de-qua-e-al-de-la-del-nos-con-la-sat-auguri-al-pont-dele-fosine/106368-1-ita-IT/Al-de-qua-e-al-de-la-del-Nos-con-la-SAT-auguri-al-Pont-dele-Fosine.jpg|;"Le sezioni SAT&nbsp,AL DE QUA E AL DE LA DEL NOS&nbsp,&nbsp,Vi invitano ad un brindisi&nbsp, auguralepressoil ponte ciclabile della Fosina il giorno&nbsp, VENERDI' 23 dicembre 2016ad ore 20.30Per chi vuole c’è la possibilità di fare una breve passeggiata. Il ritrovo è previsto per le ore 20.00 presso la p.zza della Chiesa. Ci si incammina per le strade del paese fino a raggiungere il ponte, dove si serviranno vin brulè, the caldo e panettone.";;23/12/2016;23/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Conscript Games";;;"Lo Spazio Giovani in collaborazione con i Comuni del territorio Rotaliana Koenigsberg, organizza in data 28 dicembre 2016, presso il Palasport di San Michele all'Adige la manifestazione Conscript Games 1998.Inizio ore 9,30";"www.comune.mezzocorona.tn.it/content/download/9746/106507/Locandina_conscript games 2016.pdf";28/12/2016;28/12/2016;;;;;;;;;;;"Evento singolo";;;;;;;
"Inaugurazione campo coperto con Circolo Tennis Mezzocorona";;var/mezzocorona/storage/images/turismo/calendario/inaugurazione-campo-coperto-con-circolo-tennis-mezzocorona/107815-1-ita-IT/Inaugurazione-campo-coperto-con-Circolo-Tennis-Mezzocorona.png|;"Il Comune e il cricolo tennis Mezzocorona invitano la cittadinanza presso il Centro Sottodossiil giorno sabato 14 gennaio 2017 alle ore 17 all'inaugurazione del campo da tennis coperto come da locandina allegata.";;14/01/2017;14/01/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Solstizio d'estate 2017 XXVII edizione: tutto il programma sfogliabile e scaricabile qui";;var/mezzocorona/storage/images/turismo/calendario-eventi/solstizio-d-estate-2017-xxvii-edizione-tutto-il-programma-sfogliabile-e-scaricabile-qui/107840-3-ita-IT/Solstizio-d-estate-2017-XXVII-edizione-tutto-il-programma-sfogliabile-e-scaricabile-qui.jpg|;"Solstizio d'estate 2017 inizia con una grande festa in piazza il 10.6.2017 e finirà il 24 giugno 2017.&nbsp,&quot,Con un balzo, una capriola e un salto mortale Solstizio d’Estate torna a far germogliare il teatro nelle corti, a risvegliare la magia del circo nelle piazze, per raccontare ancora una volta un pezzo del nostro mondo, sempre più appeso a un filo.&nbsp,Per affrontare questi tempi in bilico, Solstizio - con la sua ventisettesima edizione - ha deciso di rispondere al dubbio con la dolcezza, la bellezza e la leggerezza, senza allontanarsi dalla propria anima indagatrice e alla ricerca di nuove chiavi per raccontare e raccontarsi.Sarà una stagione acrobatica, che volerà da uno spettacolo all’altro mutando forma e contenuti.Dalla giornata spettacolare in piazza, con esperimenti circensi e bolle di sapone che porteranno in alto note e risate, come un equilibrista Solstizio passerà attraverso il teatro civile percorrendo il filo che lega i grandi temi del passato con quelli del nostro tempo.I migranti-attori del Teatro dell’Orsa racconteranno il viaggio vissuto sulla loro pelle, portando sul palco le storie di chi con l’incertezza ha imparato a convivere, proprio come quei ragazzi che nel quattordici-diciotto cercarono di tenere le fila di una guerra che non hanno voluto o compreso, mentre erano intrappolati da tutt’altro filo, quello spinato delle trincee, che si snoda nello spettacolo di Mario Perrotta.È un equilibrio difficile, quello fra la paura di cadere e la voglia di volare: tutti lo conoscono, ma qualcuno forse meglio degli altri. I folli, costantemente appesi ad un filo che segna il confine fra genio e pazzia, e gli acrobati, che del lanciarsi nel vuoto hanno fatto poesia, e saranno entrambi sul palco di Solstizio 2017.&nbsp, Don Chisciotte, il “folle” per eccellenza, raccontato e disegnato nella sua battaglia contro i mulini a vento da Gek Tessaro, lascerà il palco agli artisti circensi dei The Black Blues Brothers. L’edizione 2017 si chiuderà al&nbsp,Palarotari di Mezzocorona,&nbsp,sabato 24 giugno a partire dalle 19.00 con una serata dedicata alla grande musica dal vivo: la band genovese “EX-Otago”&nbsp,sarà sul palco con&nbsp,Marassi tour,&nbsp,preceduta dai trentini&nbsp,Rebel Rootz.Sarà un Solstizio&nbsp,appeso a un filo, alla ricerca del coraggio di lasciare la certezza per lanciarsi verso nuovi voli.&quot,Introduzione del Gruppo Arte Mezzocorona alla 27° edizione di Solstizio d'EstateINFORMAZIONIBIGLIETTII biglietti possono essere acquistati in prevendita oppure a partire da un’ora prima degli spettacoli presso il luogo della messa in scena.COSTO BIGLIETTI:10 giugno: ingresso gratuito14 giugno: 8 euro, gratuito under 2116 giugno: 8 euro, gratuito under 2118 giugno: 8 euro, gratuito under 2121 giugno: 8 euro, gratuito under 2124 giugno: 10 euro in prevendita, 15 ai cancelliPREVENDITAServizio “Primi alla Prima”: i biglietti possono essere acquistati online (www.primiallaprima.it) oppure presso le Casse Rurali Trentine aderenti al circuito, ad un costo maggiorato dei diritto di prevendita.Il biglietto acquistato in prevendita dà diritto ad accedere alla sezione riservata in platea (presentandosi entro mezz’ora dall’inizio dello spettacolo).L’ingresso è gratuito per i minori di 21 anni, ad eccezione del concerto del 24 giugno.Resta aggiornato sugli spettacoli di Solstizio d’Estate e le altre attività della nostra associazione: iscriviti alla nostra newsletter!www.solstiziodestate.itPer informazioni:&nbsp,info@solstiziodestate.itIl sito dedicato anticipa il programma che viene descritto dettagliatamente evento per evento anche su questo sito.Il programma è sfogliabile al seguente linkhttps://issuu.com/danielcerami4/docs/solstizio_programma_2017_web_";www.comune.mezzocorona.tn.it/content/download/9905/107842/Solstizio_Programma_2017_web_.pdf;10/06/2017;10/06/2017;;;;;;;;;;;Manifestazione;;;;;;;
"La canta della stella sul Monte di Mezzocorona";;var/mezzocorona/storage/images/turismo/calendario/la-canta-della-stella-sul-monte-di-mezzocorona/107865-1-ita-IT/La-canta-della-stella-sul-Monte-di-Mezzocorona.jpg|;"Com'è tradizione un gruppo di Amici del Monte organizza il giorno 6 gennaio 2017 a partire dalle ore 14.00 la canta della stella sul Monte di Mezzocorona.Partenza la capitello di S. Bernardo in loc. Spiazzi.";;06/01/2017;06/01/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Gita a Malga Bocche con la SAT";;var/mezzocorona/storage/images/turismo/calendario/gita-a-malga-bocche-con-la-sat/108116-2-ita-IT/Gita-a-Malga-Bocche-con-la-SAT.png|;"Nell'allegata locandina tutte le informazioni per la gita a Malga Bocche (ciaspolata o camminata) prevista il 22.1.2017 e organizzata dalla SAT-sezione di Mezzocorona";;22/01/2017;22/01/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Carnevalab in biblioteca con Bee Bee la pecora astuta";;var/mezzocorona/storage/images/turismo/calendario/carnevalab-in-biblioteca-con-bee-bee-la-pecora-astuta/108141-1-ita-IT/Carnevalab-in-biblioteca-con-Bee-Bee-la-pecora-astuta.jpg|;"Il giorno 16.2.2017 h. 16.15-17.45 in biblioteca a Mezzocorona verrà realizzato il laboratorio per bambini&nbsp,Carnevalab in biblioteca: Bee Bee la pecora astuta(animazione a cura delle bibliotecarie ispirata al libro di cui all'allegata immagine di editrice Lapis).LETTURE SUPERDIVERTENTI EMASCHERE BEE BEE&nbsp,ISCRIZIONE GRATUITA OBBLIGATORIA IN BIBLIOTECA entro il 15/2/2017 (o ad esaurimento iscritti - precedenza ai residenti)Per bambini dai 3 anni in su. I minori di 6 anni vanno accompagnati.&nbsp,";;16/02/2017;16/02/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"I mercoledì della farmacia Zanini ""De-mente no! Sente-mente""";;var/mezzocorona/storage/images/turismo/calendario/i-mercoledi-della-farmacia-zanini-de-mente-no!-sente-mente/108375-1-ita-IT/I-mercoledi-della-farmacia-Zanini-De-mente-no!-Sente-mente.jpg|;"I mercoledì della farmacia Zanini &quot,De-mente no! Sente-mente&quot, quando alcune funzioni del pensiero si &quot,spengono&quot, la persona ricerca altre vie per comunicare con Letizia Espanoli, felicitatricec/o Ex Biblioteca-Centro Frimian ore 20.30 il giorno 18.1.2017";;18/01/2017;18/01/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"I mercoledì della farmacia Zanini: Tutto quello che non avete mai sentito";;var/mezzocorona/storage/images/turismo/calendario/i-mercoledi-della-farmacia-zanini-tutto-quello-che-non-avete-mai-sentito/108400-2-ita-IT/I-mercoledi-della-farmacia-Zanini-Tutto-quello-che-non-avete-mai-sentito.jpg|;"I mercoledì della farmacia Zanini:Tutto quello che non avete mai sentito: dall'orecchio all'ascoltocon Giuliano Moser8 febbraio 2017 ore 20.30 presso centro Firmian sala ex biblioteca";;08/02/2017;08/02/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"I mercoledì della farmacia Zanini: A fior di pelle";;var/mezzocorona/storage/images/turismo/calendario/i-mercoledi-della-farmacia-zanini-a-fior-di-pelle/108425-1-ita-IT/I-mercoledi-della-farmacia-Zanini-A-fior-di-pelle.jpg|;"I mercoledì della farmacia Zanini:A fior di pelle con Mario Cristofoliniil 1° marzo ore 20.30 presso ex biblioteca-Centro Firmian";;01/03/2017;01/03/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"I mercoledì della Farmacia Zanini: L'amaro questo sconosciuto";;var/mezzocorona/storage/images/turismo/calendario/i-mercoledi-della-farmacia-zanini-l-amaro-questo-sconosciuto/108450-1-ita-IT/I-mercoledi-della-Farmacia-Zanini-L-amaro-questo-sconosciuto.jpg|;"I mercoledì della Farmacia Zanini: L'amaro questo sconosciutoGli amari e le loro proprietà con Sergio Cattani e Gabriella Zaniniil 29 marzo 2017 h. 20.30 presso Ex biblioteca-Centro Firmian";;29/03/2017;29/03/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"I mercoledì della farmacia Zanini: lunga vita alle ossa";;var/mezzocorona/storage/images/turismo/calendario/i-mercoledi-della-farmacia-zanini-lunga-vita-alle-ossa/108475-2-ita-IT/I-mercoledi-della-farmacia-Zanini-lunga-vita-alle-ossa.jpg|;"I mercoledì della farmacia Zanini: lunga vita alle ossa (in casa)con APSS, Farmacia Zanini&quot,Amici della casa di Riposo di Mezzocorona&quot,presso Auditorium della cassa rurale h. 20.30 il 12.4.2017";;12/04/2017;12/04/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"I mercoledì della farmacia Zanini: Un verme al giorno toglie il medico di torno?";;var/mezzocorona/storage/images/turismo/calendario/i-mercoledi-della-farmacia-zanini-un-verme-al-giorno-toglie-il-medico-di-torno/108500-1-ita-IT/I-mercoledi-della-farmacia-Zanini-Un-verme-al-giorno-toglie-il-medico-di-torno.jpg|;"I mercoledì della farmacia Zanini: Un verme al giorno toglie il medico di torno? Medicina ed evoluzionea cura dei biologi evoluzionisti Lino Ometto e Omar Rota Stabelli presso sala ex biblioteca -Centro Firmianil 3/5/2017 h. 20.30";;03/05/2017;03/05/2017;;;;;;;;;;;"Evento singolo";;;;;;;
"Costruire una Comunità nuova";"la partecipazione come Bene Comune";var/mezzocorona/storage/images/turismo/calendario/la-partecipazione-come-bene-comune/108562-3-ita-IT/la-partecipazione-come-Bene-Comune.png|;"Le ACLI Trentine in collaborazione con il Circolo ACLI di Mezzocorona organizzano un incontro dal titolo &quot,Costruire una Comunità Nuova&quot,Si veda la locandina allegata";"www.comune.mezzocorona.tn.it/content/download/9967/108564/serata mezzolombardo 24.01.17.pdf";24/01/2017;24/01/2017;;;"Mezzolombardo, sala civica del Comune";;;;;;;;"Evento singolo";;;;;;;
