Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
Biblioestate: Letture ondeggianti e zattere galleggianti. Laboratorio in biblioteca.,,var/mezzocorona/storage/images/turismo/calendario-eventi/biblioestate-letture-ondeggianti-e-zattere-galleggianti.-laboratorio-in-biblioteca/431310-1-ita-IT/Biblioestate-Letture-ondeggianti-e-zattere-galleggianti.-Laboratorio-in-biblioteca.jpg|,"La biblioteca propone il giorno27 giugno h. 16.30-17.45LETTURE ONDEGGIANTI E ZATTERE GALLEGGIANTI&nbsp, IN BIMBOTECA E IN PIAZZA DELLA CHIESA&nbsp,La biblioteca propone a tutti i bambini e le bambine un divertente laboratorio in cui ci si immergerà nelle profondità del mare, attraverso le letture, per poi tornare a galla costruendo una zattera, che faremo navigare nella grande fontana della piazza del paese.&nbsp,&nbsp,E’ garantito il posto a chi si iscriverà in biblioteca entro il 25.6.2024.Precedenza ai residenti. Laboratorio riservato alle bimbe ed ai bimbi dai 3 ai 10 anni (i minori di 6 anni vanno accompagnati).",www.comune.mezzocorona.tn.it/content/download/46682/431312/M_LABORATORI zattere.pdf,27/06/2024,27/06/2024,,,,,,,,,,,Evento singolo,,,,,,,
Rocce e fossili che raccontano a cura di Maria Gabriella Gretter,,var/mezzocorona/storage/images/turismo/calendario-eventi/rocce-e-fossili-che-raccontano-a-cura-di-maria-gabriella-gretter/432658-1-ita-IT/Rocce-e-fossili-che-raccontano-a-cura-di-Maria-Gabriella-Gretter.jpg|,"La biblioteca propone:1, 3, 5 LUGLIO 2024&nbsp,ore 9.30-12.00ROCCE E FOSSILI CHE RACCONTANO A CURA DI M. GABRIELLA GRETTER&nbsp,IN BIBLIOTECA A MEZZOCORONA (PIANO MANSARDA)&nbsp,  &nbsp,    &nbsp,    &nbsp,  Su richiesta della biblioteca l’esperta Maria Gabriella Gretter ha predisposto un percorso didattico e divertente per ragazzi e ragazze appassionati di storia, geologia e tradizioni, con un occhio di riguardo alla storia del nostro territorio. Ecco il programma:&nbsp,Giorno 1: Le rocce raccontano: come si sono formati vulcani, mare e spiagge? Creazione della Colonna stratigrafica delle rocce trentine, quiz, esperimenti e riconoscimento dei campioni, con creazione finale del taccuino del piccolo geologo.&nbsp,Giorno 2: Fossili fra mito e leggende. Come si forma un fossile, osservazione di fossili, lettura della leggenda di Mezzocorona forse nata a seguito del ritrovamento di impronte fossili di dinosauri al Castello di San Gottardo, con laboratorio finale di creazione di un calco di conchiglie, foglie e impronte con gesso e argilla&nbsp,Giorno 3: Paesaggi geologici che saltano su scatole pop up. Si ricreano i paesaggi geologici del Trentino usando carte dipinte, sabbie e scatole&nbsp,Il corso è rivolto ai ragazzi dagli 8 ai 12 anni appassionati di storia e scienze. Costo euro 20, 00 a persona, precedenza ai residenti, iscrizioni in biblioteca fino ad esaurimento dei posti disponibili (non oltre il 28.6.24).",,01/07/2024,01/07/2024,,,,,,,,,,,Evento singolo,,,,,,,
Laboratorio con-gelato per la biblioestate in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/laboratorio-con-gelato-per-la-biblioestate-in-biblioteca/433524-1-ita-IT/Laboratorio-con-gelato-per-la-biblioestate-in-biblioteca.jpg|,La biblioteca propone ilLaboratorio con-gelato: letture e laboratorio al gusto Barbapapà23 luglio in bimboteca a Mezzocorona h. 16-17 in collaborazione con Albergo Caffè Centrale di MezzocoronaPer bambini dai 3 anni in su,,23/07/2024,23/07/2024,,,,,,,,,,,Evento singolo,,,,,,,
Artelab in biblioteca con van Gogh,,var/mezzocorona/storage/images/turismo/calendario-eventi/artelab-in-biblioteca-con-van-gogh/433574-1-ita-IT/Artelab-in-biblioteca-con-van-Gogh.jpg|,"La biblioestate ideata dalle bibliotecarie quest’anno propone 3 laboratori d’arte per conoscere 3 grandi artisti e le loro opere e, attraverso un’attività artistica da essi ispirata, sviluppare in modo divertente la creatività, l’immaginazione e la capacità di espressione dei partecipanti.ArteLab Van Gogh, 9 luglio h. 14.15-15.45ArteLab Picasso, 8 agosto h. 14.15-15.45ArteLab Matisse, 27 agosto h. 14.15-15.45L’attività è gratuita e rivolta ai bambini dai 6 anni in su. Iscrizione obbligatoria in biblioteca fino ad esaurimento dei posti disponibili (n. 25), precedenza ai residenti.Si può partecipare ai singoli incontri.",,09/07/2024,09/07/2024,,,,,,,,,,,Evento singolo,,,,,,,
Artelab con Picasso cambio orario,,var/mezzocorona/storage/images/turismo/calendario-eventi/artelab-con-picasso-cambio-orario/433599-2-ita-IT/Artelab-con-Picasso-cambio-orario.jpg|,"La biblioestate ideata dalle bibliotecarie quest’anno propone 3 laboratori d’arte per conoscere 3 grandi artisti e le loro opere e, attraverso un’attività artistica da essi ispirata, sviluppare in modo divertente la creatività, l’immaginazione e la capacità di espressione dei partecipanti.ArteLab Van Gogh, 9 luglio h. 14.15-15.45ArteLab Picasso, 8 agosto h. 16.15-17.45ArteLab Matisse, 27 agosto h. 14.15-15.45L’attività è gratuita e rivolta ai bambini dai 6 anni in su. Iscrizione obbligatoria in biblioteca fino ad esaurimento dei posti disponibili (n. 25), precedenza ai residenti.Si può partecipare ai singoli incontri.",,08/08/2024,08/08/2024,,,,,,,,,,,Evento singolo,,,,,,,
Artelab con Matisse,,var/mezzocorona/storage/images/turismo/calendario-eventi/artelab-con-matisse/433624-2-ita-IT/Artelab-con-Matisse.jpg|,"La biblioestate ideata dalle bibliotecarie quest’anno propone 3 laboratori d’arte per conoscere 3 grandi artisti e le loro opere e, attraverso un’attività artistica da essi ispirata, sviluppare in modo divertente la creatività, l’immaginazione e la capacità di espressione dei partecipanti.ArteLab Van Gogh, 9 luglio h. 14.15-15.45ArteLab Picasso, 8 agosto h. 14.15-15.45ArteLab Matisse, 27 agosto h. 14.15-15.45L’attività è gratuita e rivolta ai bambini dai 6 anni in su. Iscrizione obbligatoria in biblioteca fino ad esaurimento dei posti disponibili (n. 25), precedenza ai residenti.Si può partecipare ai singoli incontri.",,27/08/2024,27/08/2024,,,,,,,,,,,Evento singolo,,,,,,,
AMA DOC: evento della Pro loco di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/ama-doc-evento-della-pro-loco-di-mezzocorona/433669-1-ita-IT/AMA-DOC-evento-della-Pro-loco-di-Mezzocorona.jpg|,"AMA DOC: torna l'evento estivo della Pro Loco di Mezzocorona a Palazzo Martini il 6 luglio dalle ore 18 alle ore 24, apericena in musica.",,06/07/2024,07/07/2024,,,,,,,,,,,Evento singolo,,,,,,,
Le Acli propongono un'escursione lungo le vie dell'acqua,,var/mezzocorona/storage/images/turismo/calendario-eventi/le-acli-propongono-un-escursione-lungo-le-vie-dell-acqua/433694-3-ita-IT/Le-Acli-propongono-un-escursione-lungo-le-vie-dell-acqua.jpg|,"Le Acli e Gocce di Gaia propongono un'uscita dal titolo &quot,Le vie dell'acqua tra passato e presente&quot, con la guida di Stefano Delugan il giorno 26.6.24 a partire dalle ore 17.00. Ritrovo al Ponte della Fosina.",,26/06/2024,26/06/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Il mandala nell'arte e nella storia: conferenza, laboratorio e mostra a cura di Paola Gabrielli",,var/mezzocorona/storage/images/turismo/calendario-eventi/il-mandala-nell-arte-e-nella-storia-conferenza-laboratorio-e-mostra-a-cura-di-paola-gabrielli/434425-1-ita-IT/Il-mandala-nell-arte-e-nella-storia-conferenza-laboratorio-e-mostra-a-cura-di-Paola-Gabrielli.jpg|,"La biblioteca organizza un percorso didattico e divertente per conoscere il mondo dei mandala a cura della prof.ssa Paola Gabrielli, strutturato in tre distinti momenti:Conferenza sui mandala: 16 luglio h. 16.30-18.00Laboratorio di disegno e pittura “Costruisco il mio mandala”: 18 luglio h. 16.30-18.00Mostra sui mandala: dal 16 al 18 luglio.Il percorso è rivolto ai ragazzi dagli 8 anni in su e agli adulti&nbsp, e il costo a carico dei partecipanti è di euro 10,00. Precedenza ai residenti. Iscrizioni in biblioteca fino ad esaurimento dei posti disponibili. (non oltre il 15.7.24)",www.comune.mezzocorona.tn.it/content/download/47021/434427/M_ARTE.pdf,16/07/2024,18/07/2024,Il 16 luglio h. 16.30-18.00 \ Il 18 luglio h. 16.30-18.00 \ Dal 16 al 18 luglio mostra sui mandala.,,,,,,,,,,Evento singolo,,,,,,,
Biblioestate: Corso per costruire uno scrapbook annullato,,var/mezzocorona/storage/images/turismo/calendario-eventi/biblioestate-corso-per-costruire-uno-scrapbook-annullato/435475-2-ita-IT/Biblioestate-Corso-per-costruire-uno-scrapbook-annullato.jpg|,"La biblioteca propone il giorno5 agosto 2024 in orario&nbsp,&nbsp,14.30-17.30ALBUM DEI RICORDI: COSTRUISCO IL MIO SCRAPBOOK&nbsp, &nbsp,A CURA DI SIMONA ZAMPRIGLIOIN BIBLIOTECA A MEZZOCORONA&nbsp,&nbsp,  &nbsp,     &nbsp, &nbsp,  Per la Biblioestate Simona Zampriglio propone un laboratorio di bricolage per la costruzione di un album di cartoncino ideale per l’apposizione di foto o frasi, con la tecnica dello scrapbooking.&nbsp,Per realizzare un prodotto creativo, originale e personalizzato ogni partecipante potrà costruire degli abbellimenti con i numerosi e vari materiali messi a disposizione dalla proponente. Ciascun partecipante potrà portare a casa lo Scrapbook finito e riempirlo dei propri ricordi, magari legati proprio all’estate!&nbsp,Il laboratorio è rivolto ai ragazzi dagli 8 anni in su e il costo a carico dei partecipanti è di euro 10,00. Precedenza ai residenti. Iscrizioni in biblioteca fino ad esaurimento dei posti disponibili (non oltre il 19.8.24 h. 12.00).IL CORSO E' STATO ANNULLATO PER MANCATO RAGGIUNGIMENTO DEL N. MINIMO",,04/09/2024,04/09/2024,,,,,,,,,,,Evento singolo,,,,,,,
"Plastic Free propone una passeggiata ecologica per pulire la ""Retta""",,var/mezzocorona/storage/images/turismo/calendario-eventi/plastic-free-propone-una-passeggiata-ecologica-per-pulire-la-retta/436139-1-ita-IT/Plastic-Free-propone-una-passeggiata-ecologica-per-pulire-la-Retta.jpg|,"Il 23.7.2024 Plastic Free propone una passeggiata ecologica per pulire la &quot,Retta&quot,, si parte alle ore 19.30 presso piazza S. Gottardo. La referente è la signora Maria Pia cel 3333706833.&nbsp,",,23/07/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Iniziativa della Pro Loco di Mezzocorona ""San Lorenzo"" al Monte di Mezzocorona",,var/mezzocorona/storage/images/turismo/calendario-eventi/iniziativa-della-pro-loco-di-mezzocorona-san-lorenzo-al-monte-di-mezzocorona/436164-1-ita-IT/Iniziativa-della-Pro-Loco-di-Mezzocorona-San-Lorenzo-al-Monte-di-Mezzocorona.jpg|,"Torna la tradizionale iniziativa della Pro Loco di Mezzocorona &quot,San Lorenzo&quot, al Monte il giorno 10 agosto sul Monte di Mezzocorona in loc. Spiazzi.Si veda il programma nella locandina allegata.",www.comune.mezzocorona.tn.it/content/download/47202/436166/449435712_1006388134825357_3106827601504301089_n.jpg,10/08/2024,10/08/2024,,,monte di Mezzocorona,,,,,,,,Evento singolo,,,,,,,
"""Alla scoperta della meraviglia nella natura"" con la biblioteca a S. Lorenzo al Monte",,var/mezzocorona/storage/images/turismo/calendario-eventi/alla-scoperta-della-meraviglia-nella-natura-con-la-biblioteca-a-s.-lorenzo-al-monte/436214-1-ita-IT/Alla-scoperta-della-meraviglia-nella-natura-con-la-biblioteca-a-S.-Lorenzo-al-Monte.jpg|,"In occasione della festa di san Lorenzo sul Monte di Mezzocorona la biblioteca propone un percorso multisensoriale, alla scoperta della bellezza che ci circonda, coinvolgendo i sensi. Si leggerà quindi una fiaba che celebra la vita e la natura e si costruirà il libro-boquet delle orchidee del Monte, con le foto di Mauro Varner.Iscrizioni entro il giorno 8.8.24 in biblioteca.L'iniziativa è rivolta ai bambini dai 4 ai 10 anni.",,10/08/2024,10/08/2024,,,,,,,,,,,Evento singolo,,,,,,,
Reading party in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/reading-party-in-biblioteca/436693-1-ita-IT/Reading-party-in-biblioteca.jpg|,"La biblioteca propone il giorno 12 AGOSTO 2024 in orario 19.00-22.00 un&nbsp,&nbsp,READING PARTY:per il piacere di leggere di sera, al fresco e a cellulare spento. Ci troviamo in biblioteca a Mezzocorona.&nbsp,Il reading party è un evento molto di moda soprattutto in America, che unisce il piacere di ritrovarsi in un luogo accogliente per fare due chiacchiere e sorseggiare una bevanda fresca, al piacere di leggere e sfogliare le pagine di un buon libro.L’auspicio è di ritrovarsi serenamente fra i libri e magari, spegnendo il telefono, ritrovare delle connessioni sociali, “in persona”. L’iniziativa è gratuita ad accesso libero per ragazzi ed adulti.",,12/08/2024,12/08/2024,,,,,,,,,,,Evento singolo,,,,,,,
Mostra di Alessandro De Mitri a Palazzo Martini al Settembre Rotaliano,,var/mezzocorona/storage/images/turismo/calendario-eventi/mostra-di-alessandro-de-mitri-a-palazzo-martini-al-settembre-rotaliano/438965-1-ita-IT/Mostra-di-Alessandro-De-Mitri-a-Palazzo-Martini-al-Settembre-Rotaliano.jpg|,Si veda la locandina allegata,www.comune.mezzocorona.tn.it/content/download/47554/438967/M_ARTE.pdf,30/08/2024,01/09/2024,,,,,,,,,,,Evento singolo,,,,,,,
Laboratorio per bambini /e al Settembre Rotaliano a cura della biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/laboratorio-per-bambini-e-al-settembre-rotaliano-a-cura-della-biblioteca/438990-1-ita-IT/Laboratorio-per-bambini-e-al-Settembre-Rotaliano-a-cura-della-biblioteca.jpg|,"La biblioteca di Mezzocorona propone il 30.8.24 alle ore 17.30 -19.00 un laboratorio di scoperta, lettura e creatività attraverso la fiaba “Oinós, il signore del vino” di Lisa Preghenella e il lavoretto “Chicchi d’oro”. È raccomandata l’iscrizione in biblioteca.",www.comune.mezzocorona.tn.it/content/download/47555/438992/M_LABORATORI.pdf,31/08/2024,31/08/2024,,,,,,,,,,,Evento singolo,,,,,,,
Settembre rotaliano 2024 della Pro Loco di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/settembre-rotaliano-2024-della-pro-loco-di-mezzocorona/439015-1-ita-IT/Settembre-rotaliano-2024-della-Pro-Loco-di-Mezzocorona.jpg|,Il programma della festa di quest'anno è visibile al seguente linkhttps://www.settembrerotaliano.it/?fbclid=IwY2xjawExhJ9leHRuA2FlbQIxMQABHZOqPZM-MJ9-X-YdQZDmgmZxyPdYnab0stKcigxUpR4B17lbWYITnew6-w_aem_uXXYD2I78_ukx3R2a02mQA,,30/08/2024,01/09/2024,,,,,,,,,,,Evento singolo,,,,,,,
Il GRUPPO CARONTE presenta ROCK’N WINE: vino e stelle del rock,ROCK’N WINE: vino e stelle del rock,var/mezzocorona/storage/images/turismo/calendario-eventi/rock-n-wine-vino-e-stelle-del-rock/439930-3-ita-IT/ROCK-N-WINE-vino-e-stelle-del-rock.jpg|,"Il Comune di Mezzocorona Vi invita al concerto per violino, violoncello, arpa epianoforte Rock'n Wine: vino e stelle del rock del Gruppo CaronteAlberto Martinelli (violino) Gabriele Miglioli (violoncello)Elena Trovato (arpa) Luigi Signori (pianoforte e voce)Il concerto è gratuito.Si ringrazia la Cassa del Trentino e dell'Alto Adige per la disponibilità del suggestivo spazio dell’anfiteatro. In caso di&nbsp,maltempo il concerto si svolgerà nell’adiacente Auditorium della Cassa di Trento.",www.comune.mezzocorona.tn.it/content/download/47645/439932/M_TEATRO caronte2.docx,22/09/2024,22/09/2024,,22/09/2024 ore 18.00,"presso l'anfiteatro della cassa di Trento (via Dante Alighieri civ. 8, Mezzocorona)",,,,,,,,Evento singolo,,,,,,,
Escursione monte Villandro,,var/mezzocorona/storage/images/turismo/calendario-eventi/escursione-monte-villandro/440478-8-ita-IT/Escursione-monte-Villandro.jpg|,"La SAT di&nbsp, Mezzocorona propone il 12 settembre l'escursione sul monte di Villandro, vetta estremamente panoramica posta la val Serentino e la valle d'Isarco. Si attraverserà parte della dell'Alpe di Villandro, esteso altopiano caratterizzato da amplissimi pascoli e malghe, che lo rendono uno degli alpeggi più belli dell'Alto Adige.Ulteriori info nella allegata locandina.Iscrizioni entro il mercoledì 11 settembre:&nbsp,quota di partecipazione: soci: 0€, non soci: 10€.Maggiori info nella locandina allegata.",www.comune.mezzocorona.tn.it/content/download/47697/440480/2024_Monte_di_Villandro.pdf,12/09/2024,12/09/2024,5:30 ore,12 settembre ore 7:00,monte Villandro,,,,,,,,Evento singolo,,S.A.T. sezione Mezzocorona,,,,,
Dall'idea al tratto - Alla scoperta del mondo di Nicoletta Costa - con la presenza dell’autrice,,var/mezzocorona/storage/images/turismo/calendario-eventi/dall-idea-al-tratto-alla-scoperta-del-mondo-di-nicoletta-costa-con-la-presenza-dell-autrice/440503-1-ita-IT/Dall-idea-al-tratto-Alla-scoperta-del-mondo-di-Nicoletta-Costa-con-la-presenza-dell-autrice.jpg|,"La biblioteca di Mezzocorona propone: Dall'idea al tratto - Alla scoperta del mondo di Nicoletta Costa - con la presenza dell’autriceDomenica 15 settembre in sala mansarda delle biblioteca di Mezzocorona dalle ore 16.30 alle ore 17.30.La famosa e amatissima illustratrice e scrittrice di libri per l’infanzia che, con il suo tratto semplice ed inconfondibile, da quarant’anni crea piccole e grandi avventure a misura di bambino. Sarà possibile entrare nel suo mondo illustrato, conoscere i suoi personaggi Giulio Coniglio, Nuvola Olga, strega Teodora e Topo Tommaso.Lei disegna e racconta per i bambini che potranno disegnare e creare insieme a lei.Iscrizione gratuita e obbligatoria al n. 0461 608182/83. Precedenza ai residenti.Nicoletta Costa incontrerà i bambini e le bambine della scuola maternadi Mezzocorona in bimboteca il 17 settembre 9.30-11.30.",www.comune.mezzocorona.tn.it/content/download/47698/440505/RM_LABORATORI NICOLETTA COSTA def_page-0001.jpg,15/09/2024,15/09/2024,,15 settembre 16.30-17.30,"Biblioteca di Mezzocorona, sala mansarda",,,,,,,,Evento singolo,,,,,,,
Galeotta fu la biblioteca: i lettori sono invitati a mettere in vetrina il loro libro del ❤️ ,,var/mezzocorona/storage/images/turismo/calendario-eventi/galeotta-fu-la-biblioteca-i-lettori-sono-invitati-a-mettere-in-vetrina-il-loro-libro-del/441012-1-ita-IT/Galeotta-fu-la-biblioteca-i-lettori-sono-invitati-a-mettere-in-vetrina-il-loro-libro-del.jpg|,"La biblioteca di Mezzocorona propone, l'iniziativa &quot,Galeotta fu la biblioteca: i lettori sono invitati a mettere in vetrina il loro libro del cuore&quot,, in occasione della&nbsp,tredicesima edizione del Bibliopride, la settimana nazionale delle biblioteche dal 23 al 29 settembre.“Pensa a un libro che durante la tua vita ti ha colpito e allestisci come vuoi le vetrine che trovi su ogni piano. Al piano terra sarà presente una vetrina dedicata ai consigli di lettura rivolti ai bambini, mentre al primo piano troverai delle vetrine dedicate ai ragazzi/giovani adulti e agli adulti. Sei pronto a mettere il tuo libro del ❤️ in vetrina e ad allegare un post-it con dei consigli di lettura?”Il giorno 27 settembre 2024 dalle 17.00 in poi saranno letti ad alta voce da una bibliotecaria alcuni libri per bambini consigliati durante la settimana!&nbsp,",www.comune.mezzocorona.tn.it/content/download/47751/441014/Locandina Bibliopride 2024 MCO_page-0001.jpg,23/09/2024,29/09/2024,,,in Biblioteca a Mezzocorona,,,,,,,,Evento singolo,,,,,,,
Festa d'autunno con la Pro Loco,,var/mezzocorona/storage/images/turismo/calendario-eventi/festa-d-autunno-con-la-pro-loco3/441906-3-ita-IT/Festa-d-autunno-con-la-Pro-Loco.jpg|,"La Proloco di Mezzocorona vi aspetta in Piazza della Chiesa domenica 6 ottobre,&nbsp,per festeggiare in compagnia l'inizio della stagione autunnale!A partire dalle ore 10.30 fino alle ore 19.00&nbsp,la giornata sarà allietata da buona&nbsp,musica, bancarelle di&nbsp,prodotti tipici&nbsp,e dal tradizionale&nbsp,pranzo&nbsp,(polenta, salsiccia e contorni - certificato senza glutine).&nbsp,Tanto divertimento anche per i più piccoli !Programma in foto e locandina allegata.",www.comune.mezzocorona.tn.it/content/download/47842/441908/1d4363ce-aee7-4c5a-9059-cb8a42f9fd05.jpg,06/10/2024,06/10/2024,,,Piazza della Chiesa,,,,,,,,Evento singolo,,"Pro Loco,S.A.T. sezione Mezzocorona",,,,,
Rocca Piana Skyrace a Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/rocca-piana-skyrace-a-mezzocorona/441931-1-ita-IT/Rocca-Piana-Skyrace-a-Mezzocorona.jpg|,"L'Associazione sportiva dilettantistica Paganella Mountain Team propone la manifestazione sportiva Roccapiana Skyrace.&nbsp,La gara si svolgerà domenica 28 Settembre 2023 con partenza alle ore 09:00 dalla Piazza della Chiesa a Mezzocorona (ore 7:00 ritiro pettorali).L’arrivo è previsto nello stesso punto della partenza.Il percorso pervede una lunghezza di&nbsp,circa 22 km con un dislivello di 1900 metri circa in positivo e altrettanto in negativo.&nbsp,&nbsp,La gara si svolgerà lungo sentieri di montagna con un percorso impegnativo di salite e discese su sentieri classificati “EE” che prevedono alcuni passaggi esposti e attrezzati. È richiesta pertanto una buona preparazione fisica e abitudine a percorsi su sentieri di alta montagna.- Ore 12:00 pranzo e festa aperta a tutti.- Ore 14:30 premiazioni.La partecipazione alla gara è vincolata dal tesseramento a FISky. Per chi non fosse in possesso di un tesseramento annuale a FISky è possibile richiedere una tessera valida solamente per la giornata della competizione ad un costo di € 5,00 (prezzo stabilito dalla federazione), aggiuntivo al costo della competizione.&nbsp,Le iscrizioni sono gestite dal portale di Wedosport. La quota di partecipazione è variabile ed ammonta a:- € 30 ai primi 30 iscritti- € 35 fino al 26/09/2023,- € 40 il 27 e 28 Settembre al ritiro pettorale.In caso di annullamento dell’iscrizione entro il 05/09/2024 verrà rimborsata l’intera quota d’iscrizione, ad eccezione dei costi di segreteria (€ 2,00). Dopo tale data, il Comitato Organizzatore si riserva la possibilità di rimborsare il 50% del costo. Dopo il 20/09/2024 non verranno rimborsate le quote d’iscrizione, ad eccezione del caso in cui la gara venga annullata dal comitato organizzatore.&nbsp,",www.comune.mezzocorona.tn.it/content/download/47843/441933/40dfed2f-2df0-4cea-a3b3-5385ca155f2a.jpg,28/09/2024,28/09/2024,,,,,,,,,,,Evento singolo,,,,,,,
Presentazione del laboratorio esperienziale Genitori efficaci,,var/mezzocorona/storage/images/turismo/calendario-eventi/presentazione-del-laboratorio-esperienziale-genitori-efficaci/441956-1-ita-IT/Presentazione-del-laboratorio-esperienziale-Genitori-efficaci.jpg|,"La dott.ssa Claudia Giglioli presenta un laboratorio esperienziale per migliorare le relazioni in famiglia, lunedì 23 settembre 2024 alle ore 20:30, nella sala biblioteca delll'Istituto Martini. (via G. Perlasca 4, Mezzolombardo)Ulteriori informazioni nella locandina allegata.",www.comune.mezzocorona.tn.it/content/download/47844/441958/3a58a470-761b-42a0-a207-b0fa289b2bbf-_1_.jpg,23/09/2024,,,,"via G. Perlasca, Mezzolombardo",,,,,,,,Evento singolo,,,,,,,
"Alla scoperta del trattore, con l'intervento del viticoltore Mirco Dalrì",,var/mezzocorona/storage/images/turismo/calendario-eventi/alla-scoperta-del-trattore-con-l-intervento-del-viticoltore-mirco-dalri/442448-3-ita-IT/Alla-scoperta-del-trattore-con-l-intervento-del-viticoltore-Mirco-Dalri.jpg|,"La biblioteca di Mezzocorona nell’ambito delle iniziative di Agrifamily d’autunno 2024 propone un laboratorio didattico per bambini dai 3 agli 11 anni alla scoperta del trattore con l’esperto Mirco Dalrì.Si parte in bimboteca con una lettura a tema, si prosegue in piazza dove sarà collocato il trattore, e si conclude l’esperienza con un laboratorio creativo per la costruzione di un lapbook-trattore che ogni partecipante potrà portarsi a casa.L’iniziativa è gratuita. Per questioni organizzative è raccomandata la prenotazione in biblioteca a Mezzocorona (telefonica o via email). I bimbi minori di 7 anni vanno accompagnati da un adulto.L’iniziativa si svolge anche in caso di maltempo (utilizzando la sede dell’ex caserma dei V.V.F.)",www.comune.mezzocorona.tn.it/content/download/47889/442450/M_LABORATORI agrifamily autunno.pdf,11/10/2024,11/10/2024,,,In Bimboteca e piazza della chiesa,,,,,,,,Evento singolo,,,,,,,
Incontralzheimerotaliana: L'Alzheimer in casa. Soluzione per migliorare la vita in casa,,var/mezzocorona/storage/images/turismo/calendario-eventi/incontralzheimerotaliana-l-alzheimer-in-casa.-soluzione-per-migliorare-la-vita-in-casa/442557-4-ita-IT/Incontralzheimerotaliana-L-Alzheimer-in-casa.-Soluzione-per-migliorare-la-vita-in-casa.jpg|,"Incontralzheimerotalianamercoledì 23 ottobre 2024, ore 20:30, in Biblioteca a Mezzocoronapresenta:&nbsp,L'Alzheimer in casa. Soluzione per migliorare la vita in casa -&nbsp,Un manuale per i caregiver che si trovano ad assistere persone affette dal Alzehimer - redatto e presentato dalla&nbsp,dott.ssa Paola Maria Taufer - psicologa e psicoterapeuta -&nbsp,specializzata in psicologia dell’invecchiamento.&nbsp,",www.comune.mezzocorona.tn.it/content/download/47900/442559/Serate Alzheimer 2024_.jpg,23/10/2024,,,23 ottobre 2024,Biblioteca di Mezzocorona - secondo piano,,,,,,,,Evento singolo,,,,,,,
Incontralzheimerotaliana:  La terapia della dignità. Parole per il tempo che rimane.,,var/mezzocorona/storage/images/turismo/calendario-eventi/incontralzheimerotaliana-la-terapia-della-dignita.-parole-per-il-tempo-che-rimane/442582-4-ita-IT/Incontralzheimerotaliana-La-terapia-della-dignita.-Parole-per-il-tempo-che-rimane.jpg|,"mercoledì 30 ottobre 2024, ore 20:30, in biblioteca a Mezzocoronapresenta:&nbsp,La terapia della dignità. Parole per il tempo che rimane. libro della&nbsp,dott.ssa Raffaella Tanel - neurologa, esperta in malattie&nbsp,neurodegenerative e neuromuscolari.",www.comune.mezzocorona.tn.it/content/download/47901/442584/Serate Alzheimer 2024_.jpg,30/10/2024,,,30 ottobre 2024,Biblioteca di Mezzocorona - secondo piano,,,,,,,,Evento singolo,,,,,,,
Biblioescape ed. Halloween,,var/mezzocorona/storage/images/turismo/calendario-eventi/biblioescape-ed.-halloween/442607-1-ita-IT/Biblioescape-ed.-Halloween.jpg|,"La notte di Halloween si avvicina e in biblioteca, una strega malvagia ha lanciato un incantesimo!Abbiamo bisogno di eroi valorosi pronti all’avventura...dovrete risolvere enigmi, trovare gli indizi perscoprire il codice che vi permetterà di fuggire in tempo...L’attività si svolge in gruppi ristretti di 5 bambini e ragazzi, con ingresso ogni mezz’ora (14.30 /15.00 / 15.30 / 16.00 / 16.30 / 17.00 / 17.30 / 18.00).L’attività è gratuita e rivolta ai bambini e ragazzi dai 7 ai 12 anni. Iscrizione obbligatoria in bibliotecafino ad esaurimento dei posti disponibili, precedenza ai residenti.",www.comune.mezzocorona.tn.it/content/download/47902/442609/M_LABORATORI def.pdf,25/10/2024,25/10/2024,,25 ottobre 2024,Biblioteca di Mezzocorona,,,,,,,,Evento singolo,,,,,,,
